Sector,Num_Funds,Num_Pairs,Spearman,Pearson,Mean_Regular,Mean_Weighted,Std_Regular,Std_Weighted
Technology,11,55,0.8827517881712701,0.7335765954752259,19.381818181818183,45.96363636363636,3.7585824653398694,25.386441360668844
Healthcare,9,36,0.8932215686807431,0.743847906991945,21.666666666666668,53.611111111111114,4.69041575982343,30.766393803211987
Utilities,10,45,0.897784680421391,0.8925364104291212,18.31111111111111,28.31111111111111,4.231218486032506,10.030669019943502
Energy,6,15,0.7798291302375469,0.865469226083845,18.533333333333335,41.86666666666667,5.584104424365846,19.561413264099528
Real Estate,11,55,0.7326519557456022,0.6007473772366831,12.381818181818181,20.0,2.907613261084262,11.345804190416505
