symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
FSPTX,2007,249,252,249,3,1.19,98.81,3
FSPTX,2008,251,252,251,1,0.4,99.6,1
FSPTX,2009,250,252,250,2,0.79,99.21,2
FSPTX,2010,250,252,250,2,0.79,99.21,2
FSPTX,2011,251,252,251,1,0.4,99.6,1
FSPTX,2012,248,252,248,4,1.59,98.41,4
FSPTX,2013,250,252,250,2,0.79,99.21,2
FSPTX,2014,250,252,250,2,0.79,99.21,2
FSPTX,2015,250,252,250,2,0.79,99.21,2
FSPTX,2016,251,252,251,1,0.4,99.6,1
FSPTX,2017,250,252,250,2,0.79,99.21,2
FSPTX,2018,249,252,249,3,1.19,98.81,3
FSPTX,2019,250,252,250,2,0.79,99.21,2
FSPTX,2020,251,252,251,1,0.4,99.6,1
FSPTX,2021,250,252,250,2,0.79,99.21,2
FSPTX,2022,250,252,250,2,0.79,99.21,2
FSPTX,2023,249,252,249,3,1.19,98.81,3
FSPTX,2024,250,252,250,2,0.79,99.21,2
FSPTX,2025,248,252,248,4,1.59,98.41,4
FSCSX,1999,250,252,250,2,0.79,99.21,2
FSCSX,2000,251,252,251,1,0.4,99.6,1
FSCSX,2001,246,252,246,6,2.38,97.62,6
FSCSX,2002,250,252,250,2,0.79,99.21,2
FSCSX,2003,250,252,250,2,0.79,99.21,2
FSCSX,2004,250,252,250,2,0.79,99.21,2
FSCSX,2005,251,252,251,1,0.4,99.6,1
FSCSX,2006,250,252,250,2,0.79,99.21,2
FSCSX,2007,249,252,249,3,1.19,98.81,3
FSCSX,2008,251,252,251,1,0.4,99.6,1
FSCSX,2009,250,252,250,2,0.79,99.21,2
FSCSX,2010,250,252,250,2,0.79,99.21,2
FSCSX,2011,251,252,251,1,0.4,99.6,1
FSCSX,2012,248,252,248,4,1.59,98.41,4
FSCSX,2013,250,252,250,2,0.79,99.21,2
FSCSX,2014,250,252,250,2,0.79,99.21,2
FSCSX,2015,250,252,250,2,0.79,99.21,2
FSCSX,2016,251,252,251,1,0.4,99.6,1
FSCSX,2017,250,252,250,2,0.79,99.21,2
FSCSX,2018,249,252,249,3,1.19,98.81,3
FSCSX,2019,250,252,250,2,0.79,99.21,2
FSCSX,2020,251,252,251,1,0.4,99.6,1
FSCSX,2021,250,252,250,2,0.79,99.21,2
FSCSX,2022,250,252,250,2,0.79,99.21,2
FSCSX,2023,249,252,249,3,1.19,98.81,3
FSCSX,2024,250,252,250,2,0.79,99.21,2
FSCSX,2025,248,252,248,4,1.59,98.41,4
FSELX,1999,250,252,250,2,0.79,99.21,2
FSELX,2000,251,252,251,1,0.4,99.6,1
FSELX,2001,246,252,246,6,2.38,97.62,6
FSELX,2002,250,252,250,2,0.79,99.21,2
FSELX,2003,250,252,250,2,0.79,99.21,2
FSELX,2004,250,252,250,2,0.79,99.21,2
FSELX,2005,251,252,251,1,0.4,99.6,1
FSELX,2006,250,252,250,2,0.79,99.21,2
FSELX,2007,249,252,249,3,1.19,98.81,3
FSELX,2008,251,252,251,1,0.4,99.6,1
FSELX,2009,250,252,250,2,0.79,99.21,2
FSELX,2010,250,252,250,2,0.79,99.21,2
FSELX,2011,251,252,251,1,0.4,99.6,1
FSELX,2012,248,252,248,4,1.59,98.41,4
FSELX,2013,250,252,250,2,0.79,99.21,2
FSELX,2014,250,252,250,2,0.79,99.21,2
FSELX,2015,250,252,250,2,0.79,99.21,2
FSELX,2016,251,252,251,1,0.4,99.6,1
FSELX,2017,250,252,250,2,0.79,99.21,2
FSELX,2018,249,252,249,3,1.19,98.81,3
FSELX,2019,250,252,250,2,0.79,99.21,2
FSELX,2020,251,252,251,1,0.4,99.6,1
FSELX,2021,250,252,250,2,0.79,99.21,2
FSELX,2022,250,252,250,2,0.79,99.21,2
FSELX,2023,249,252,249,3,1.19,98.81,3
FSELX,2024,250,252,250,2,0.79,99.21,2
FSELX,2025,248,252,248,4,1.59,98.41,4
FDCPX,1999,250,252,250,2,0.79,99.21,2
FDCPX,2000,251,252,251,1,0.4,99.6,1
FDCPX,2001,246,252,246,6,2.38,97.62,6
FDCPX,2002,250,252,250,2,0.79,99.21,2
FDCPX,2003,250,252,250,2,0.79,99.21,2
FDCPX,2004,250,252,250,2,0.79,99.21,2
FDCPX,2005,251,252,251,1,0.4,99.6,1
FDCPX,2006,250,252,250,2,0.79,99.21,2
FDCPX,2007,249,252,249,3,1.19,98.81,3
FDCPX,2008,251,252,251,1,0.4,99.6,1
FDCPX,2009,250,252,250,2,0.79,99.21,2
FDCPX,2010,250,252,250,2,0.79,99.21,2
FDCPX,2011,251,252,251,1,0.4,99.6,1
FDCPX,2012,248,252,248,4,1.59,98.41,4
FDCPX,2013,250,252,250,2,0.79,99.21,2
FDCPX,2014,250,252,250,2,0.79,99.21,2
FDCPX,2015,250,252,250,2,0.79,99.21,2
FDCPX,2016,251,252,251,1,0.4,99.6,1
FDCPX,2017,250,252,250,2,0.79,99.21,2
FDCPX,2018,249,252,249,3,1.19,98.81,3
FDCPX,2019,250,252,250,2,0.79,99.21,2
FDCPX,2020,251,252,251,1,0.4,99.6,1
FDCPX,2021,250,252,250,2,0.79,99.21,2
FDCPX,2022,250,252,250,2,0.79,99.21,2
FDCPX,2023,249,252,249,3,1.19,98.81,3
FDCPX,2024,250,252,250,2,0.79,99.21,2
FDCPX,2025,248,252,248,4,1.59,98.41,4
SHGTX,1999,250,252,250,2,0.79,99.21,2
SHGTX,2000,251,252,251,1,0.4,99.6,1
SHGTX,2001,246,252,246,6,2.38,97.62,6
SHGTX,2002,250,252,250,2,0.79,99.21,2
SHGTX,2003,250,252,250,2,0.79,99.21,2
SHGTX,2004,250,252,250,2,0.79,99.21,2
SHGTX,2005,251,252,251,1,0.4,99.6,1
SHGTX,2006,250,252,250,2,0.79,99.21,2
SHGTX,2007,249,252,249,3,1.19,98.81,3
SHGTX,2008,251,252,251,1,0.4,99.6,1
SHGTX,2009,250,252,250,2,0.79,99.21,2
SHGTX,2010,250,252,250,2,0.79,99.21,2
SHGTX,2011,251,252,251,1,0.4,99.6,1
SHGTX,2012,248,252,248,4,1.59,98.41,4
SHGTX,2013,250,252,250,2,0.79,99.21,2
SHGTX,2014,250,252,250,2,0.79,99.21,2
SHGTX,2015,250,252,250,2,0.79,99.21,2
SHGTX,2016,251,252,251,1,0.4,99.6,1
SHGTX,2017,250,252,250,2,0.79,99.21,2
SHGTX,2018,249,252,249,3,1.19,98.81,3
SHGTX,2019,250,252,250,2,0.79,99.21,2
SHGTX,2020,251,252,251,1,0.4,99.6,1
SHGTX,2021,250,252,250,2,0.79,99.21,2
SHGTX,2022,250,252,250,2,0.79,99.21,2
SHGTX,2023,249,252,249,3,1.19,98.81,3
SHGTX,2024,250,252,250,2,0.79,99.21,2
SHGTX,2025,248,252,248,4,1.59,98.41,4
ROGSX,1999,250,252,250,2,0.79,99.21,2
ROGSX,2000,251,252,251,1,0.4,99.6,1
ROGSX,2001,246,252,246,6,2.38,97.62,6
ROGSX,2002,250,252,250,2,0.79,99.21,2
ROGSX,2003,250,252,250,2,0.79,99.21,2
ROGSX,2004,250,252,250,2,0.79,99.21,2
ROGSX,2005,251,252,251,1,0.4,99.6,1
ROGSX,2006,250,252,250,2,0.79,99.21,2
ROGSX,2007,249,252,249,3,1.19,98.81,3
ROGSX,2008,251,252,251,1,0.4,99.6,1
ROGSX,2009,250,252,250,2,0.79,99.21,2
ROGSX,2010,250,252,250,2,0.79,99.21,2
ROGSX,2011,251,252,251,1,0.4,99.6,1
ROGSX,2012,248,252,248,4,1.59,98.41,4
ROGSX,2013,250,252,250,2,0.79,99.21,2
ROGSX,2014,250,252,250,2,0.79,99.21,2
ROGSX,2015,250,252,250,2,0.79,99.21,2
ROGSX,2016,251,252,251,1,0.4,99.6,1
ROGSX,2017,250,252,250,2,0.79,99.21,2
ROGSX,2018,249,252,249,3,1.19,98.81,3
ROGSX,2019,250,252,250,2,0.79,99.21,2
ROGSX,2020,251,252,251,1,0.4,99.6,1
ROGSX,2021,250,252,250,2,0.79,99.21,2
ROGSX,2022,250,252,250,2,0.79,99.21,2
ROGSX,2023,249,252,249,3,1.19,98.81,3
ROGSX,2024,250,252,250,2,0.79,99.21,2
ROGSX,2025,248,252,248,4,1.59,98.41,4
ICTEX,1999,250,252,250,2,0.79,99.21,2
ICTEX,2000,251,252,251,1,0.4,99.6,1
ICTEX,2001,246,252,246,6,2.38,97.62,6
ICTEX,2002,250,252,250,2,0.79,99.21,2
ICTEX,2003,250,252,250,2,0.79,99.21,2
ICTEX,2004,250,252,250,2,0.79,99.21,2
ICTEX,2005,251,252,251,1,0.4,99.6,1
ICTEX,2006,250,252,250,2,0.79,99.21,2
ICTEX,2007,249,252,249,3,1.19,98.81,3
ICTEX,2008,251,252,251,1,0.4,99.6,1
