Date,Adj_Close,Daily_Return,Year
1999-01-05,3.4982807636260986,-0.0040488031157233095,1999
1999-01-06,3.533831834793091,0.01016244080139006,1999
1999-01-07,3.526721477508545,-0.0020120813940661675,1999
1999-01-08,3.540943145751953,0.00403254646960538,1999
1999-01-11,3.540943145751953,0.0,1999
1999-01-12,3.526721477508545,-0.004016350350179998,1999
1999-01-13,3.4556193351745605,-0.02016097465803124,1999
1999-01-14,3.4271762371063232,-0.008230969707431757,1999
1999-01-15,3.5125021934509277,0.024896868570916553,1999
1999-01-19,3.526721477508545,0.004048192221524971,1999
1999-01-20,3.4982807636260986,-0.008064349301135643,1999
1999-01-21,3.4982807636260986,0.0,1999
1999-01-22,3.5196115970611572,0.006097519003291252,1999
1999-01-25,3.4769487380981445,-0.012121467891126336,1999
1999-01-26,3.4485092163085938,-0.008179448111480303,1999
1999-01-27,3.3774046897888184,-0.020618917352318467,1999
1999-01-28,3.334743022918701,-0.01263149393944396,1999
1999-01-29,3.2991912364959717,-0.010661027305070458,1999
1999-02-01,3.3063018321990967,0.0021552541800144986,1999
1999-02-02,3.2920825481414795,-0.0043006612158453805,1999
1999-02-03,3.341852903366089,0.01511819782669388,1999
1999-02-04,3.313413381576538,-0.008510105804149903,1999
1999-02-05,3.4271762371063232,0.03433403636332755,1999
1999-02-08,3.4698383808135986,0.012448190800744108,1999
1999-02-09,3.4200665950775146,-0.01434412219638126,1999
1999-02-10,3.384514093399048,-0.010395265907873652,1999
1999-02-11,3.3916280269622803,0.002101906910982221,1999
1999-02-12,3.3702945709228516,-0.006290034128104582,1999
1999-02-16,3.334743022918701,-0.010548498730903466,1999
1999-02-17,3.313413381576538,-0.0063961874110151085,1999
1999-02-18,3.327632188796997,0.00429128683415092,1999
1999-02-19,3.3236212730407715,-0.0012053362657474809,1999
1999-02-22,3.3379480838775635,0.004310602701036448,1999
1999-02-23,3.3379480838775635,0.0,1999
1999-02-24,3.3092947006225586,-0.008584130889693009,1999
1999-02-25,3.294969320297241,-0.004328831857320692,1999
1999-02-26,3.3307833671569824,0.010869311176624263,1999
1999-03-01,3.3307833671569824,0.0,1999
1999-03-02,3.3021321296691895,-0.008601951652066897,1999
1999-03-03,3.316459894180298,0.004338943430632458,1999
1999-03-04,3.3236212730407715,0.002159344327679058,1999
1999-03-05,3.4453911781311035,0.03663771985035025,1999
1999-03-08,3.466881275177002,0.006237346047178072,1999
1999-03-09,3.4310669898986816,-0.010330404313165231,1999
1999-03-10,3.610139846801758,0.05219159446034727,1999
1999-03-11,3.7390737533569336,0.035714380059099105,1999
1999-03-12,3.7390737533569336,0.0,1999
1999-03-15,3.638793468475342,-0.026819552513924205,1999
1999-03-16,3.6029775142669678,-0.009842810403686064,1999
1999-03-17,3.6459548473358154,0.011928282343885543,1999
1999-03-18,3.724748134613037,0.02161115279164738,1999
1999-03-19,3.803541421890259,0.021153990667185818,1999
1999-03-22,3.8751707077026367,0.01883226127107096,1999
1999-03-23,3.832192897796631,-0.011090559138615341,1999
1999-03-24,3.810703754425049,-0.005607531756540052,1999
1999-03-25,3.825031042098999,0.003759748486696912,1999
1999-03-26,3.825031042098999,0.0,1999
1999-03-29,3.8751707077026367,0.013108302926640558,1999
1999-03-30,3.825031042098999,-0.012938698546615113,1999
1999-03-31,3.7390737533569336,-0.022472311412901957,1999
1999-04-01,3.7820510864257812,0.011494112152846014,1999
1999-04-05,3.7605628967285156,-0.005681623332479346,1999
1999-04-06,3.703258991241455,-0.015238119148841212,1999
1999-04-07,3.6459548473358154,-0.015473976851516191,1999
1999-04-08,3.63162899017334,-0.003929247004510694,1999
1999-04-09,3.63162899017334,0.0,1999
1999-04-12,3.6244659423828125,-0.0019724062699988387,1999
1999-04-13,3.6531190872192383,0.007905480501656514,1999
1999-04-14,3.753399133682251,0.027450527636465827,1999
1999-04-15,3.8680083751678467,0.030534786577083084,1999
1999-04-16,4.068571090698242,0.05185167561114512,1999
1999-04-19,4.161688804626465,0.022887080464468967,1999
1999-04-20,4.082896709442139,-0.018932721518421736,1999
1999-04-21,3.9826154708862305,-0.024561296964480395,1999
1999-04-22,3.996940851211548,0.003596978023622688,1999
1999-04-23,3.9253129959106445,-0.0179206693236883,1999
1999-04-26,3.9038217067718506,-0.005475051075209403,1999
1999-04-27,3.946798086166382,0.011008796667117515,1999
1999-04-28,4.125873565673828,0.045372343757617006,1999
1999-04-29,4.161688804626465,0.00868064384003664,1999
1999-04-30,4.11154842376709,-0.012048085095558991,1999
1999-05-03,4.161688804626465,0.012195011633460373,1999
1999-05-04,4.133037567138672,-0.006884521845060054,1999
1999-05-05,4.075733184814453,-0.013864955590977335,1999
1999-05-06,4.025592803955078,-0.01230217450106652,1999
1999-05-07,4.004103660583496,-0.0053381314052601825,1999
1999-05-10,4.025592803955078,0.005366779982027392,1999
1999-05-11,4.032756328582764,0.001779495586500257,1999
1999-05-12,3.996940851211548,-0.008881140950016797,1999
1999-05-13,4.011268138885498,0.0035845633466422555,1999
1999-05-14,3.9897773265838623,-0.0053576105006051256,1999
1999-05-17,3.9768106937408447,-0.0032499640410057484,1999
1999-05-18,3.8615400791168213,-0.028985693185106687,1999
1999-05-19,3.8615400791168213,0.0,1999
1999-05-20,3.8903582096099854,0.0074628593521564035,1999
1999-05-21,3.9407906532287598,0.012963444727068119,1999
1999-05-24,3.904766321182251,-0.009141397048582967,1999
1999-05-25,3.8975601196289062,-0.001845488554399033,1999
1999-05-26,3.9479947090148926,0.012940041420268944,1999
1999-05-27,3.904766321182251,-0.010949454348034848,1999
1999-05-28,3.868743658065796,-0.009225305729831379,1999
1999-06-01,3.811110734939575,-0.014897064323727949,1999
1999-06-02,3.8615400791168213,0.013232190740331662,1999
1999-06-03,3.9191746711730957,0.014925286511452196,1999
1999-06-04,3.9191746711730957,0.0,1999
1999-06-07,3.998422861099243,0.020220632295122165,1999
1999-06-08,4.0056281089782715,0.0018020224796952977,1999
1999-06-09,3.9912188053131104,-0.0035972644671790066,1999
1999-06-10,3.9912188053131104,0.0,1999
1999-06-11,4.0056281089782715,0.003610251496605432,1999
1999-06-14,4.048853874206543,0.0107912577134619,1999
1999-06-15,4.099286079406738,0.012455921297006123,1999
1999-06-16,4.048853874206543,-0.012302680082160511,1999
1999-06-17,4.04164981842041,-0.0017792827328313443,1999
1999-06-18,4.048853874206543,0.00178245422285217,1999
1999-06-21,4.027240753173828,-0.005338083740290656,1999
1999-06-22,3.969606399536133,-0.014311126940269037,1999
1999-06-23,3.998422861099243,0.00725927426116546,1999
1999-06-24,3.9263792037963867,-0.01801801855520857,1999
1999-06-25,3.9119715690612793,-0.0036694455597097164,1999
1999-06-28,3.904766321182251,-0.0018418456657539606,1999
1999-06-29,3.9335851669311523,0.007380427758907793,1999
1999-06-30,4.0056281089782715,0.01831482959941222,1999
1999-07-01,4.020036697387695,0.0035970859044873738,1999
1999-07-02,4.027240753173828,0.0017920373191653294,1999
1999-07-06,4.048853874206543,0.005366731804072433,1999
1999-07-07,4.04164981842041,-0.0017792827328313443,1999
1999-07-08,4.05605936050415,0.0035652623881630152,1999
1999-07-09,4.08487606048584,0.007104605090914484,1999
1999-07-12,4.142510414123535,0.01410920497569279,1999
1999-07-13,4.099286079406738,-0.010434333386206363,1999
1999-07-14,4.113692760467529,0.0035144366071850897,1999
1999-07-15,4.149714946746826,0.008756654513790929,1999
1999-07-16,4.149714946746826,0.0,1999
1999-07-19,4.1208977699279785,-0.006944375020611737,1999
1999-07-20,4.048853874206543,-0.01748257291097388,1999
1999-07-21,4.04164981842041,-0.0017792827328313443,1999
1999-07-22,4.0056281089782715,-0.008912625056719303,1999
1999-07-23,4.027240753173828,0.005395569335833628,1999
1999-07-26,3.998422861099243,-0.007155741074549304,1999
1999-07-27,3.9840147495269775,-0.003603448677838128,1999
1999-07-28,3.998422861099243,0.0036164804796408045,1999
1999-07-29,3.9768106937408447,-0.005405173016757137,1999
1999-07-30,4.048853874206543,0.018115818431862385,1999
1999-08-02,3.9840147495269775,-0.016014192335422783,1999
1999-08-03,3.9912188053131104,0.0018082402398205133,1999
1999-08-04,3.9912188053131104,0.0,1999
1999-08-05,4.048853874206543,0.014440468364377512,1999
1999-08-06,4.063263893127441,0.003559036549256156,1999
1999-08-09,4.113692760467529,0.012410925961610086,1999
1999-08-10,4.063263893127441,-0.012258783112027216,1999
1999-08-11,4.092080116271973,0.007091890633357689,1999
1999-08-12,4.08487606048584,-0.0017604874737144893,1999
1999-08-13,4.092080116271973,0.0017635922557894812,1999
