Date,Fund_Return,SPY_Return,Residual
1999-01-05,0.0,0.0114301436041948,-0.016399017452338818
1999-01-06,0.0,0.02410818571448,-0.034704596533487064
1999-01-07,0.0,-0.0049044281688332,0.007186153881433436
1999-01-08,0.0,0.0073927562276498,-0.010569512134430423
1999-01-11,0.0,-0.0095405702904617,0.013880189561443003
1999-01-12,0.0,-0.0180286307538912,0.026135935417723428
1999-01-13,0.0,-0.0070424818689643,0.010273248146228478
1999-01-14,0.0,-0.0174770344466774,0.025339496209308112
1999-01-15,0.0,0.0260374300294337,-0.03749019497739743
1999-01-19,0.0,0.0065327789823685,-0.00932780767134825
1999-01-20,0.0,0.0079878892413955,-0.011428813148905356
1999-01-21,0.0,-0.0264980236757643,0.03836472757285357
1999-01-22,0.0,-0.0022893203527564,0.0034102504322654588
1999-01-25,0.0,0.0101986114380088,-0.014620832046186345
1999-01-26,0.0,0.0181726415695318,-0.026134379477112932
1999-01-27,0.0,-0.0116504286297192,0.01692657309159121
1999-01-28,0.0,0.0168041268837992,-0.024158407668100908
1999-01-29,0.0,0.0076471610608719,-0.010936842338310675
1999-02-01,0.0,-0.0058756275445391,0.00858844982120818
1999-02-02,0.0,-0.006155600301469,0.008992697054177188
1999-02-03,0.0,0.0101582710373901,-0.01456258532423456
1999-02-04,0.0,-0.014962226861618,0.021708414318135826
1999-02-05,0.0,-0.0114542655699724,0.01664333705468912
1999-02-08,0.0,0.0020151791851414,-0.0028049329541211393
1999-02-09,0.0,-0.0223732427366907,0.0324090363852238
1999-02-10,0.0,0.006429249610403,-0.009178323619374752
1999-02-11,0.0,0.0229937204904748,-0.0330954418143474
1999-02-12,0.0,-0.0119874298816091,0.017413162662224667
1999-02-16,0.0,-0.006067518944382,0.00886551809123441
1999-02-17,0.0,-0.0010168320624336,0.0015729292729168927
1999-02-18,0.0,0.0078916676103297,-0.011289880602265278
1999-02-19,0.0,0.0042943016803747,-0.006095713715787071
1999-02-22,0.0,0.026659746637188,-0.03838874585596854
1999-02-23,0.0,-0.000489876474603,0.0008120683212514613
1999-02-24,0.0,-0.0176469650433472,0.025584855701616643
1999-02-25,0.0,-0.0094812484803511,0.013794535950517111
1999-02-26,0.0,-0.0040302602602936,0.005923959794935514
1999-03-01,0.0,0.0027822316622574,-0.003912465146954479
1999-03-02,0.0,-0.008827082871021,0.012849998916360636
1999-03-03,0.0,0.0053433372160751,-0.007610395777153596
1999-03-04,0.0,0.0126546464596377,-0.018167053373060144
1999-03-05,0.0,0.0201200712990266,-0.028946235488328233
1999-03-08,0.0,0.0064933292667519,-0.009270846992193965
1999-03-09,0.0,-0.0024343528286041,0.0036196600108794135
