,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,38.0,81.0,28.0,35.0,36.0,35.0,29.0,47.0,47.0,44.0
FSCSX,38.0,0.0,97.0,24.0,27.0,22.0,23.0,37.0,57.0,31.0,34.0
FSELX,81.0,97.0,0.0,83.0,106.0,101.0,94.0,106.0,42.0,92.0,91.0
FSPTX,28.0,24.0,83.0,0.0,27.0,18.0,19.0,37.0,45.0,31.0,30.0
ICTEX,35.0,27.0,106.0,27.0,0.0,19.0,24.0,26.0,68.0,34.0,39.0
KTCAX,36.0,22.0,101.0,18.0,19.0,0.0,15.0,31.0,63.0,25.0,28.0
MTCAX,35.0,23.0,94.0,19.0,24.0,15.0,0.0,28.0,56.0,32.0,37.0
ROGSX,29.0,37.0,106.0,37.0,26.0,31.0,28.0,0.0,72.0,54.0,57.0
RSIFX,47.0,57.0,42.0,45.0,68.0,63.0,56.0,72.0,0.0,58.0,57.0
SHGTX,47.0,31.0,92.0,31.0,34.0,25.0,32.0,54.0,58.0,0.0,11.0
SLMCX,44.0,34.0,91.0,30.0,39.0,28.0,37.0,57.0,57.0,11.0,0.0
