,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,19.0,26.0,23.0,22.0,19.0,11.0,20.0,19.0
FACDX,19.0,0.0,26.0,23.0,16.0,3.0,18.0,17.0,22.0
FBDIX,26.0,26.0,0.0,17.0,26.0,26.0,26.0,25.0,27.0
FSHCX,23.0,23.0,17.0,0.0,21.0,23.0,25.0,22.0,27.0
FSMEX,22.0,16.0,26.0,21.0,0.0,15.0,23.0,20.0,26.0
FSPHX,19.0,3.0,26.0,23.0,15.0,0.0,18.0,19.0,23.0
PHSTX,11.0,18.0,26.0,25.0,23.0,18.0,0.0,23.0,14.0
PRHSX,20.0,17.0,25.0,22.0,20.0,19.0,23.0,0.0,23.0
VGHCX,19.0,22.0,27.0,27.0,26.0,23.0,14.0,23.0,0.0
