,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,24.0,96.0,60.0,38.0,27.0,16.0,27.0,32.0
FACDX,24.0,0.0,90.0,54.0,22.0,5.0,22.0,23.0,36.0
FBDIX,96.0,90.0,0.0,44.0,80.0,87.0,110.0,71.0,124.0
FSHCX,60.0,54.0,44.0,0.0,48.0,57.0,72.0,41.0,86.0
FSMEX,38.0,22.0,80.0,48.0,0.0,19.0,38.0,31.0,46.0
FSPHX,27.0,5.0,87.0,57.0,19.0,0.0,25.0,26.0,39.0
PHSTX,16.0,22.0,110.0,72.0,38.0,25.0,0.0,39.0,18.0
PRHSX,27.0,23.0,71.0,41.0,31.0,26.0,39.0,0.0,53.0
VGHCX,32.0,36.0,124.0,86.0,46.0,39.0,18.0,53.0,0.0
