,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,25.0,64.0,22.0,30.0,26.0,24.0,25.0,41.0,40.0,35.0
FSCSX,25.0,0.0,73.0,17.0,23.0,15.0,17.0,30.0,46.0,27.0,26.0
FSELX,64.0,73.0,0.0,64.0,82.0,78.0,74.0,83.0,29.0,74.0,71.0
FSPTX,22.0,17.0,64.0,0.0,22.0,14.0,14.0,33.0,39.0,28.0,25.0
ICTEX,30.0,23.0,82.0,22.0,0.0,14.0,18.0,21.0,57.0,30.0,33.0
KTCAX,26.0,15.0,78.0,14.0,14.0,0.0,10.0,23.0,53.0,24.0,27.0
MTCAX,24.0,17.0,74.0,14.0,18.0,10.0,0.0,21.0,49.0,28.0,29.0
ROGSX,25.0,30.0,83.0,33.0,21.0,23.0,21.0,0.0,62.0,45.0,46.0
RSIFX,41.0,46.0,29.0,39.0,57.0,53.0,49.0,62.0,0.0,53.0,50.0
SHGTX,40.0,27.0,74.0,28.0,30.0,24.0,28.0,45.0,53.0,0.0,15.0
SLMCX,35.0,26.0,71.0,25.0,33.0,27.0,29.0,46.0,50.0,15.0,0.0
