,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,17.0,22.0,18.0,21.0,17.0,17.0,19.0,20.0,22.0,21.0
FSCSX,17.0,0.0,23.0,12.0,15.0,11.0,11.0,18.0,21.0,19.0,15.0
FSELX,22.0,23.0,0.0,22.0,22.0,23.0,23.0,23.0,15.0,24.0,24.0
FSPTX,18.0,12.0,22.0,0.0,16.0,13.0,12.0,22.0,19.0,19.0,17.0
ICTEX,21.0,15.0,22.0,16.0,0.0,12.0,14.0,14.0,22.0,18.0,18.0
KTCAX,17.0,11.0,23.0,13.0,12.0,0.0,10.0,16.0,23.0,16.0,15.0
MTCAX,17.0,11.0,23.0,12.0,14.0,10.0,0.0,16.0,22.0,18.0,16.0
ROGSX,19.0,18.0,23.0,22.0,14.0,16.0,16.0,0.0,22.0,22.0,21.0
RSIFX,20.0,21.0,15.0,19.0,22.0,23.0,22.0,22.0,0.0,25.0,25.0
SHGTX,22.0,19.0,24.0,19.0,18.0,16.0,18.0,22.0,25.0,0.0,10.0
SLMCX,21.0,15.0,24.0,17.0,18.0,15.0,16.0,21.0,25.0,10.0,0.0
