symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
RYEIX,2021,250,252,250,2,0.79,99.21,2
RYEIX,2022,250,252,250,2,0.79,99.21,2
RYEIX,2023,249,252,249,3,1.19,98.81,3
RYEIX,2024,250,252,250,2,0.79,99.21,2
RYEIX,2025,248,252,248,4,1.59,98.41,4
FNARX,1999,250,252,250,2,0.79,99.21,2
FNARX,2000,251,252,251,1,0.4,99.6,1
FNARX,2001,246,252,246,6,2.38,97.62,6
FNARX,2002,250,252,250,2,0.79,99.21,2
FNARX,2003,250,252,250,2,0.79,99.21,2
FNARX,2004,250,252,250,2,0.79,99.21,2
FNARX,2005,251,252,251,1,0.4,99.6,1
FNARX,2006,250,252,250,2,0.79,99.21,2
FNARX,2007,249,252,249,3,1.19,98.81,3
FNARX,2008,251,252,251,1,0.4,99.6,1
FNARX,2009,250,252,250,2,0.79,99.21,2
FNARX,2010,250,252,250,2,0.79,99.21,2
FNARX,2011,251,252,251,1,0.4,99.6,1
FNARX,2012,248,252,248,4,1.59,98.41,4
FNARX,2013,250,252,250,2,0.79,99.21,2
FNARX,2014,250,252,250,2,0.79,99.21,2
FNARX,2015,250,252,250,2,0.79,99.21,2
FNARX,2016,251,252,251,1,0.4,99.6,1
FNARX,2017,250,252,250,2,0.79,99.21,2
FNARX,2018,249,252,249,3,1.19,98.81,3
FNARX,2019,250,252,250,2,0.79,99.21,2
FNARX,2020,251,252,251,1,0.4,99.6,1
FNARX,2021,250,252,250,2,0.79,99.21,2
FNARX,2022,250,252,250,2,0.79,99.21,2
FNARX,2023,249,252,249,3,1.19,98.81,3
FNARX,2024,250,252,250,2,0.79,99.21,2
FNARX,2025,248,252,248,4,1.59,98.41,4
PRNEX,1999,250,252,250,2,0.79,99.21,2
PRNEX,2000,251,252,251,1,0.4,99.6,1
PRNEX,2001,246,252,246,6,2.38,97.62,6
PRNEX,2002,250,252,250,2,0.79,99.21,2
PRNEX,2003,250,252,250,2,0.79,99.21,2
PRNEX,2004,250,252,250,2,0.79,99.21,2
PRNEX,2005,251,252,251,1,0.4,99.6,1
PRNEX,2006,250,252,250,2,0.79,99.21,2
PRNEX,2007,249,252,249,3,1.19,98.81,3
PRNEX,2008,251,252,251,1,0.4,99.6,1
PRNEX,2009,250,252,250,2,0.79,99.21,2
PRNEX,2010,250,252,250,2,0.79,99.21,2
PRNEX,2011,251,252,251,1,0.4,99.6,1
PRNEX,2012,248,252,248,4,1.59,98.41,4
PRNEX,2013,250,252,250,2,0.79,99.21,2
PRNEX,2014,250,252,250,2,0.79,99.21,2
PRNEX,2015,250,252,250,2,0.79,99.21,2
PRNEX,2016,251,252,251,1,0.4,99.6,1
