Date,Daily_Return,Year
1999-01-04,0.0,1999
1999-01-05,-0.0059381856805901245,1999
1999-01-06,0.032257930344533836,1999
1999-01-07,0.0023148565416672984,1999
1999-01-08,-0.0023095103565105024,1999
1999-01-11,-0.01388892717941237,1999
1999-01-12,-0.015257900191379625,1999
1999-01-13,-0.0190704418088693,1999
1999-01-14,-0.015795761377561224,1999
1999-01-15,0.017283918221982608,1999
1999-01-19,0.0,1999
1999-01-20,-0.007281349383359004,1999
1999-01-21,0.00244491876888997,1999
1999-01-22,-0.0036584335804092927,1999
1999-01-25,-0.00979220563979466,1999
1999-01-26,-0.01236082016814033,1999
1999-01-27,-0.020025156713482928,1999
1999-01-28,-0.006385868484198087,1999
1999-01-29,-0.002570504890070824,1999
1999-02-01,-0.0012886237368624487,1999
1999-02-02,0.003870741079528228,1999
1999-02-03,0.025707168516266865,1999
1999-02-04,-0.005012620525270073,1999
1999-02-05,0.026448547275842227,1999
1999-02-08,0.00981578747692069,1999
1999-02-09,-0.019441082649397257,1999
1999-02-10,0.0,1999
1999-02-11,-0.009913095660164073,1999
1999-02-12,-0.012515522288458314,1999
1999-02-16,-0.011407102825789273,1999
1999-02-17,-0.010256358455981274,1999
1999-02-18,0.006476739891790428,1999
1999-02-19,-0.009009109921210401,1999
1999-02-22,0.006493562893042482,1999
1999-02-23,-0.001290404642808718,1999
1999-02-24,-0.0025839071469474506,1999
1999-02-25,0.0038860202007544586,1999
1999-02-26,-0.006451668577370229,1999
1999-03-01,-0.012986828336477352,1999
1999-03-02,-0.007894876262313222,1999
1999-03-03,0.029177691437952902,1999
1999-03-04,0.033505043577677585,1999
1999-03-05,0.018703634444945383,1999
1999-03-08,0.013463511825272834,1999
1999-03-09,-0.008454091848169587,1999
1999-03-10,0.05237503019874534,1999
1999-03-11,0.012731551926226548,1999
1999-03-12,0.0011432441224592527,1999
1999-03-15,-0.012557245960754249,1999
1999-03-16,-0.005780396409983735,1999
1999-03-17,0.02906980522230196,1999
1999-03-18,0.011299532114029232,1999
1999-03-19,-0.013407853253081137,1999
1999-03-22,0.014722434110213012,1999
1999-03-23,-0.020089131885374756,1999
1999-03-24,-0.002277840152593358,1999
1999-03-25,0.007990746521840508,1999
1999-03-26,0.011325021144992009,1999
1999-03-29,0.03919344799606961,1999
1999-03-30,-0.015086083067884948,1999
1999-03-31,0.0,1999
1999-04-01,0.0,1999
1999-04-05,-0.015317259235596459,1999
1999-04-06,-0.010000025448465566,1999
1999-04-07,-0.004489520732891106,1999
1999-04-08,0.0,1999
1999-04-09,0.0,1999
1999-04-12,0.031567132561320266,1999
1999-04-13,0.004371563142459234,1999
1999-04-14,-0.01632213370252944,1999
1999-04-15,0.04535434440199948,1999
1999-04-16,0.04021147914704515,1999
1999-04-19,0.01831133917907657,1999
1999-04-20,-0.026973095272372793,1999
1999-04-21,-0.00821360508909974,1999
1999-04-22,0.014492728882576467,1999
1999-04-23,-0.01938749544498375,1999
1999-04-26,-0.012487213537967556,1999
1999-04-27,0.024236230603601472,1999
1999-04-28,0.040123366609241096,1999
1999-04-29,0.0227496594134462,1999
1999-04-30,-0.014506896559362215,1999
1999-05-03,0.02551531130857332,1999
1999-05-04,-0.0019139975801502063,1999
1999-05-05,-0.009587549422859443,1999
1999-05-06,-0.014520584878200626,1999
1999-05-07,0.007858324807098915,1999
1999-05-10,-0.007797053031836532,1999
1999-05-11,-0.003929522381781569,1999
1999-05-12,-0.02169618884654201,1999
1999-05-13,0.009072603826585146,1999
1999-05-14,-0.00999009630136527,1999
1999-05-17,-0.0050453602626294725,1999
