Date,Daily_Return,Year
1999-01-04,0.0,1999
1999-01-05,0.0,1999
1999-01-06,0.0,1999
1999-01-07,0.0,1999
1999-01-08,0.0,1999
1999-01-11,0.0,1999
1999-01-12,0.0,1999
1999-01-13,0.0,1999
1999-01-14,0.0,1999
1999-01-15,0.0,1999
1999-01-19,0.0,1999
1999-01-20,0.0,1999
1999-01-21,0.0,1999
1999-01-22,0.0,1999
1999-01-25,0.0,1999
1999-01-26,0.0,1999
1999-01-27,0.0,1999
1999-01-28,0.0,1999
1999-01-29,0.0,1999
1999-02-01,0.0,1999
1999-02-02,0.0,1999
1999-02-03,0.0,1999
1999-02-04,0.0,1999
1999-02-05,0.0,1999
1999-02-08,0.0,1999
1999-02-09,0.0,1999
1999-02-10,0.0,1999
1999-02-11,0.0,1999
1999-02-12,0.0,1999
1999-02-16,0.0,1999
1999-02-17,0.0,1999
1999-02-18,0.0,1999
1999-02-19,0.0,1999
1999-02-22,0.0,1999
1999-02-23,0.0,1999
1999-02-24,0.0,1999
1999-02-25,0.0,1999
1999-02-26,0.0,1999
1999-03-01,0.0,1999
1999-03-02,0.0,1999
1999-03-03,0.0,1999
1999-03-04,0.0,1999
1999-03-05,0.0,1999
1999-03-08,0.0,1999
1999-03-09,0.0,1999
1999-03-10,0.0,1999
1999-03-11,0.0,1999
1999-03-12,0.0,1999
1999-03-15,0.0,1999
1999-03-16,0.0,1999
1999-03-17,0.0,1999
1999-03-18,0.0,1999
1999-03-19,0.0,1999
1999-03-22,0.0,1999
1999-03-23,0.0,1999
1999-03-24,0.0,1999
1999-03-25,0.0,1999
1999-03-26,0.0,1999
1999-03-29,0.0,1999
1999-03-30,0.0,1999
1999-03-31,0.0,1999
1999-04-01,0.0,1999
1999-04-05,0.0,1999
1999-04-06,0.0,1999
1999-04-07,-0.00798402625261252,1999
1999-04-08,0.012072459320850548,1999
1999-04-09,0.0059642927315606276,1999
1999-04-12,0.01581000146144862,1999
1999-04-13,0.011673177619105246,1999
1999-04-14,-0.013461419081906345,1999
1999-04-15,-0.02826491780209317,1999
1999-04-16,-0.005015265283168868,1999
1999-04-19,-0.06149185254926137,1999
1999-04-20,0.0193336606033343,1999
1999-04-21,0.0410960235421729,1999
1999-04-22,0.0030364776912508162,1999
1999-04-23,0.0020184134531080478,1999
1999-04-26,0.020140603418270286,1999
1999-04-27,-0.0019741199613075855,1999
1999-04-28,-0.010880350664113969,1999
1999-04-29,-0.00900005268349413,1999
1999-04-30,0.010091062946499418,1999
1999-05-03,-0.004995092206073304,1999
1999-05-04,-0.010040336820344109,1999
1999-05-05,0.004056961251433844,1999
1999-05-06,-0.004040568820296242,1999
1999-05-07,0.009127843168606153,1999
1999-05-10,0.004020331589331239,1999
1999-05-11,0.02402380542168192,1999
1999-05-12,0.017595475869726984,1999
1999-05-13,0.004803157972632199,1999
1999-05-14,-0.022944658252354477,1999
1999-05-17,-0.0048924536027804555,1999
1999-05-18,0.013765855323662146,1999
1999-05-19,0.00678991536932716,1999
1999-05-20,-0.002890338575396001,1999
1999-05-21,-0.00772939873037537,1999
1999-05-24,-0.033106155823941275,1999
1999-05-25,-0.029204366081528543,1999
1999-05-26,0.016597427263523423,1999
1999-05-27,-0.0020409332232160793,1999
1999-05-28,0.02249482176210016,1999
1999-06-01,-0.00900005268349413,1999
1999-06-02,0.0030274193158539298,1999
1999-06-03,-0.0010059603988035182,1999
1999-06-04,0.021148044530540977,1999
1999-06-07,0.01282052708218151,1999
1999-06-08,-0.01363233036082434,1999
1999-06-09,0.014807635473401026,1999
1999-06-10,-0.009727540441324734,1999
1999-06-11,-0.010805730388599222,1999
1999-06-14,-0.02283985462120741,1999
1999-06-15,0.0020323672351383326,1999
1999-06-16,0.021298053981601894,1999
1999-06-17,0.015888969810094133,1999
1999-06-18,0.009774954484338627,1999
1999-06-21,0.016457421207134004,1999
1999-06-22,-0.006666858350192539,1999
1999-06-23,0.004793693620678052,1999
1999-06-24,-0.015266914587673819,1999
1999-06-25,-0.002907014685458398,1999
1999-06-28,0.016521002857907696,1999
1999-06-29,0.028680743522910168,1999
1999-06-30,0.026951486891936494,1999
1999-07-01,0.0045250863101413685,1999
1999-07-02,0.008107854138486914,1999
1999-07-06,0.013404883602338602,1999
1999-07-07,-0.019400587501904543,1999
1999-07-08,0.008993025221701867,1999
1999-07-09,0.007130060685469397,1999
1999-07-12,0.0017702480190990855,1999
1999-07-13,0.0008828565114917808,1999
1999-07-14,0.012356936146049824,1999
1999-07-15,0.019180412289430793,1999
1999-07-16,0.013687015407626513,1999
1999-07-19,-0.013502210445225815,1999
1999-07-20,-0.03079584142678249,1999
1999-07-21,0.011474155625175397,1999
1999-07-22,-0.017452082966641025,1999
1999-07-23,0.0035524843230114733,1999
1999-07-26,-0.026548435613481858,1999
1999-07-27,0.013636178289484269,1999
1999-07-28,0.008071616839388174,1999
1999-07-29,-0.01957248526176636,1999
1999-07-30,0.004536681053565861,1999
1999-08-02,-0.014453410457508808,1999
1999-08-03,-0.03116391457875267,1999
1999-08-04,-0.03311259733169547,1999
1999-08-05,0.02054788962013876,1999
1999-08-06,-0.007670113365863429,1999
1999-08-09,-0.00772939873037537,1999
1999-08-10,-0.002921296715647448,1999
1999-08-11,0.02148457166865314,1999
1999-08-12,0.012428121318844187,1999
1999-08-13,0.02738414213438678,1999
1999-08-16,0.010110205330213562,1999
1999-08-17,0.008190037017665741,1999
1999-08-18,0.0,1999
1999-08-19,-0.0072205075973604815,1999
1999-08-20,0.009999908313614636,1999
