,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,10.0,46.0,49.0,10.0,29.0
FSENX,10.0,0.0,46.0,55.0,4.0,35.0
ICPAX,46.0,46.0,0.0,67.0,44.0,61.0
PRNEX,49.0,55.0,67.0,0.0,55.0,24.0
RYEIX,10.0,4.0,44.0,55.0,0.0,35.0
VGENX,29.0,35.0,61.0,24.0,35.0,0.0
