Fund,Sector,Year,Total_Days,Alpha,Beta,Alpha_Pvalue,Beta_Pvalue,R_Squared,Adj_R_Squared,Residual_Std,Fstatistic,F_Pvalue
ETHSX,healthcare,2016,250,-0.0010423408244411294,1.003034822897762,0.022015041561280764,1.2995771084440598e-47,0.5720753778208498,0.5703498753120628,0.0071359640839507325,331.54131906944826,1.2995771084440637e-47
ETHSX,healthcare,2017,250,-5.367574868624497e-05,0.8119169848400857,0.861350934514398,2.404187726872586e-24,0.3421579298198606,0.33950534082719863,0.004776659333075927,128.99017931779463,2.4041877268726913e-24
ETHSX,healthcare,2018,250,0.00034972760394713935,0.8825886564442902,0.1436008330056469,2.467420971094887e-109,0.8637532690167515,0.8632038870369804,0.00376836867966714,1572.2271585546646,2.467420971094904e-109
ETHSX,healthcare,2019,250,0.00013753907349331525,0.7806121647515557,0.673554292342363,1.3931822463949075e-50,0.5949719355012784,0.593338757821848,0.005106277808432298,364.30324942281317,1.3931822463948006e-50
ETHSX,healthcare,2020,250,-4.022521578508132e-05,0.790487393200261,0.9266145605017069,4.593190351627329e-106,0.8552299198698451,0.8546461695467396,0.006892449870442249,1465.0611503221985,4.593190351627666e-106
ETHSX,healthcare,2021,250,0.0001375934479710725,0.6498348280127991,0.6627947322834113,2.6523475587946466e-43,0.5365389442941102,0.5346701497146509,0.0049375608921569305,287.10429182075586,2.6523475587947087e-43
ETHSX,healthcare,2022,250,0.0002053470868274708,0.6979809920817812,0.6005775964611428,1.7441421992891207e-76,0.7493926151998536,0.7483821015514658,0.0061866915398291564,741.5957383609194,1.7441421992889824e-76
ETHSX,healthcare,2023,250,-0.00034727797427061536,0.6094974322453897,0.3109259797538222,9.527980317927221e-36,0.4670278856737725,0.4648788045676183,0.005369741907457206,217.31515126924896,9.527980317926844e-36
ETHSX,healthcare,2024,250,-0.00034052145173561407,0.4867755454183794,0.37495574845728397,2.0407198140060057e-20,0.2928045129523865,0.28995291824654934,0.00601368914752698,102.68097088026647,2.0407198140059085e-20
ETHSX,healthcare,2025,249,6.49127727044552e-05,0.5203964416499656,0.9078383427243201,1.6195746471831561e-24,0.34535615399879205,0.3427057740554673,0.008821687361160721,130.30439460901042,1.6195746471832294e-24
FSHCX,healthcare,1999,250,-0.0016552505948017793,0.47030074037904734,0.03657783865206009,6.066195680058383e-11,0.15879511187930972,0.1554031566852746,0.012420772811996304,46.8152150590198,6.066195680058222e-11
FSHCX,healthcare,2000,250,0.0023339188577835438,0.4867937747770862,0.003826178933828288,4.090853545315992e-17,0.2485674218707402,0.2455374517976383,0.01263889424291593,82.03626302363963,4.0908535453157937e-17
FSHCX,healthcare,2001,249,0.000261950129086642,0.3769117148642894,0.7451525754903008,5.724261405700035e-10,0.1442955536738012,0.14083116320284494,0.012700253358490348,41.651065283634566,5.724261405699907e-10
FSHCX,healthcare,2002,251,0.00010467377831078719,0.4978032127778031,0.9238649051779692,6.697181525038367e-13,0.18760079111330574,0.1843381436880579,0.01731112929644875,57.49955991614974,6.697181525038746e-13
FSHCX,healthcare,2003,250,0.00048826552465697004,0.627869346887083,0.5141788739082713,7.032071477455519e-16,0.23134740345177873,0.22824799782053584,0.011770543834439574,74.64250600816354,7.032071477455502e-16
FSHCX,healthcare,2004,250,0.0011377341692259543,0.8932748358253663,0.06074479115168173,2.5026260197153677e-21,0.3045646326631378,0.30176045779484395,0.009529970765684518,108.61114123330341,2.502626019715378e-21
FSHCX,healthcare,2005,250,0.0008997935154197506,0.8483743327202181,0.011144878478880753,1.1937402576435455e-38,0.49487334010392503,0.4928365390559569,0.0055581524188778155,242.9659689136655,1.1937402576435635e-38
FSHCX,healthcare,2006,250,-0.00044760529498642744,0.7533762086765461,0.3294765518692785,8.409835387113353e-21,0.29779566241160715,0.29496419330842805,0.007216190627655346,105.17355180646686,8.409835387112587e-21
FSHCX,healthcare,2007,250,0.000503702992095884,0.6629064787623893,0.10432297662455423,1.5968552323219172e-58,0.6503763440196677,0.6489665712132954,0.004883341050787893,461.3341533330083,1.596855232321921e-58
FSHCX,healthcare,2008,250,-0.0008537753972149068,0.7635743132112782,0.3079917619735054,3.149689959860055e-66,0.6969018382875083,0.695679668280603,0.013192461493575279,570.2167737303671,3.14968995986018e-66
FSHCX,healthcare,2009,250,0.0009258720517021499,0.8058364568124744,0.28511432830021965,1.130148960014237e-38,0.4950953892010327,0.4930594835123271,0.013641894627088424,243.18188801556346,1.1301489600142834e-38
FSHCX,healthcare,2010,250,9.294181514225429e-05,0.8337968389425096,0.8341639208927486,1.1645430145361197e-57,0.6447414426545559,0.6433089484717114,0.007003141612663897,450.08311403700077,1.1645430145361463e-57
FSHCX,healthcare,2011,250,0.0003090128162116288,1.04215036588946,0.4442854690124116,3.383365267490364e-104,0.8501258363726746,0.8495215050677256,0.006376510690347948,1406.7214943375602,3.3833652674902204e-104
FSHCX,healthcare,2012,250,-9.112761227727146e-05,0.8456119011670944,0.8305190599968653,4.977081410808179e-39,0.4984103429349025,0.49638780399512383,0.006711573606081799,246.42805788918807,4.9770814108083386e-39
FSHCX,healthcare,2013,250,0.0003300126723517192,0.8066516313138725,0.2725495475235024,1.199332401664309e-48,0.5801965938808105,0.578503838210975,0.004692418638285071,342.75271039984943,1.1993324016642819e-48
FSHCX,healthcare,2014,250,0.0004341417706875764,0.8980417522415677,0.3206252469088076,4.633917259459476e-35,0.46021713559674204,0.4580405917886643,0.006872071692277834,211.44400305142986,4.633917259459662e-35
FSHCX,healthcare,2015,250,0.0002555545444793314,0.8342280406453162,0.6051862088324675,1.5970469366355636e-41,0.5210226931829611,0.5190913330748279,0.007805486705431636,269.76983266293183,1.5970469366356247e-41
FSHCX,healthcare,2016,250,-0.00034332991872224435,0.9499887737299364,0.4662613654107829,4.782738493511699e-42,0.5256408877533854,0.5237281493975522,0.007423473484025542,274.8106588391355,4.782738493511602e-42
FSHCX,healthcare,2017,250,0.00015493058761057251,0.9388645723515069,0.6752733721001452,6.579171095275249e-23,0.32450618596105363,0.32178242058186424,0.005747345092433896,119.13881733001523,6.579171095275123e-23
FSHCX,healthcare,2018,250,0.0005387288013396888,0.8736123046258607,0.20343699461861847,1.0868099146494626e-60,0.6641384193323162,0.6627841387651078,0.006678769494152456,490.399430822015,1.0868099146495288e-60
FSHCX,healthcare,2019,250,-8.896073582116852e-05,0.8489553988537258,0.8937878033776141,1.5696039121618417e-20,0.2942859121974063,0.2914402908756216,0.01042291840880562,103.4171026005817,1.5696039121618378e-20
FSHCX,healthcare,2020,250,6.607502798504036e-05,1.0822867322826357,0.9318099770732109,1.8059263969704494e-83,0.7798426470242872,0.7789549157622884,0.012186700687927073,878.4670320929897,1.8059263969703854e-83
FSHCX,healthcare,2021,250,-6.569244933779333e-05,0.8034955483946594,0.8989762838339115,4.749442394486328e-29,0.3968328567080177,0.39440073113022744,0.00809845146971248,163.1629798772837,4.749442394486204e-29
FSHCX,healthcare,2022,250,0.0005840385170924655,0.6699474300386827,0.32976748913542053,6.713225100239517e-44,0.5416286670128166,0.539780395508836,0.00944650738311806,293.04605186322675,6.713225100239547e-44
FSHCX,healthcare,2023,250,-0.00034953536029726446,0.5409134876942546,0.5387635368867024,1.0319877953400147e-13,0.20024210080075944,0.19701727056205276,0.00891517921919647,62.09384245946251,1.0319877953400206e-13
FSHCX,healthcare,2024,250,-0.0009638961587094424,0.36702361267862194,0.12201812915932844,4.090582275994815e-06,0.08217059656146652,0.07846967154760132,0.009750977067852695,22.20271857809186,4.090582275994867e-06
FSHCX,healthcare,2025,249,5.829207471897232e-05,0.2895684342802663,0.944460459450149,2.951888247095402e-05,0.06833709000490873,0.0645651753895441,0.013164391192268218,18.117348077430044,2.951888247095473e-05
VGHCX,healthcare,1999,250,-0.00017110463151941483,0.6252134528348687,0.6676355468649073,6.721998625946135e-47,0.5663836753282325,0.5646352224061689,0.006277206117371018,323.9341867207776,6.721998625947059e-47
VGHCX,healthcare,2000,250,0.002164421819321114,0.45111617662560327,0.0006858478786326506,4.371359330957623e-22,0.3141978715670425,0.31143254040400625,0.009952389259584285,113.62034166717218,4.371359330957625e-22
VGHCX,healthcare,2001,249,-3.0086892244218528e-05,0.4010041500597338,0.9510667430808966,4.289010564191856e-24,0.34021255432385833,0.3375413500903517,0.007727038073171719,127.36298859381534,4.2890105641915895e-24
VGHCX,healthcare,2002,251,0.00015599444521022699,0.6316882035628585,0.7244960980869595,3.907486935553347e-66,0.6949160200856198,0.6936907832184938,0.006994337720206434,567.1687154791944,3.9074869355535663e-66
VGHCX,healthcare,2003,250,0.0002651539010515514,0.7010521311773268,0.40941232070707867,9.773226150744457e-62,0.6705870776197601,0.6692587997069366,0.005053445115342884,504.85449704894904,9.773226150745338e-62
VGHCX,healthcare,2004,250,6.395000472712048e-05,0.725769619541381,0.7901920328531862,6.233846817869729e-58,0.6465234421955894,0.6450981334947652,0.0037888269675167017,453.60239632418836,6.2338468178704905e-58
VGHCX,healthcare,2005,250,0.0004899256245014799,0.636740850345073,0.02410690387677069,1.6252808279533397e-50,0.5944696722780396,0.5928344693436768,0.003410353090239309,363.5448908423779,1.6252808279533074e-50
VGHCX,healthcare,2006,250,-1.351394741141533e-05,0.7140415512448526,0.953823455771192,1.2686148502967647e-50,0.5952769374849811,0.5936449896522592,0.0036725393562353826,364.76468521187115,1.2686148502967215e-50
VGHCX,healthcare,2007,250,4.3294900517511345e-05,0.5978322097298542,0.8365556588922769,2.4129959047196867e-80,0.7667013313784034,0.765760610940413,0.003313363529366339,815.0150676181032,2.412995904719529e-80
VGHCX,healthcare,2008,250,0.00031664731593780227,0.6359010610715266,0.4937284997223347,2.096108130708273e-100,0.8392002007375982,0.8385518144502497,0.00729236150951778,1294.2904825602434,2.096108130708291e-100
VGHCX,healthcare,2009,250,0.00027090328448355457,0.5400273608937668,0.5535888744431798,6.661305139492843e-53,0.612009923624659,0.6104454475102423,0.0072079936073226126,391.1916059216039,6.661305139493284e-53
VGHCX,healthcare,2010,250,-0.0001372724845784843,0.6334709218250715,0.5620525735472188,3.8784095263872223e-85,0.7865500521047843,0.7856893668310133,0.003733917450174364,913.8648889141225,3.878409526387085e-85
VGHCX,healthcare,2011,250,0.0003678002528932988,0.746527390294385,0.09143086774970484,2.265959168431094e-131,0.9094897088820242,0.9091247480307421,0.0034318378600307732,2492.0199130587685,2.265959168431122e-131
VGHCX,healthcare,2012,250,0.0001517685193326287,0.6958488523965738,0.40557528276083044,6.127280647742385e-85,0.7857622282538195,0.784898366270972,0.0028746824003544396,909.5923236067791,6.127280647742713e-85
VGHCX,healthcare,2013,250,0.0005231569935115357,0.8567551783731527,0.007226801706063032,4.852027046971298e-86,0.790094526646095,0.7892481336083776,0.003019982568307331,933.4841987558223,4.852027046971178e-86
VGHCX,healthcare,2014,250,0.0005037995270427798,0.9741695990658352,0.07161057796297209,7.76528664022993e-69,0.7112078804979496,0.7100433961451187,0.004386235647051633,610.749194498845,7.765286640229931e-69
VGHCX,healthcare,2015,250,0.00043011447321756235,0.9241915804540649,0.22977128240429576,3.57867494998003e-70,0.7182754080284885,0.7171394217705389,0.005648263433351236,632.2923389275094,3.578674949980562e-70
VGHCX,healthcare,2016,250,-0.0007917052430475097,0.9722082532230129,0.04652371538152904,3.279726581771011e-54,0.6212954639986863,0.6197684295793261,0.006243672290192477,406.86408644215373,3.2797265817711115e-54
VGHCX,healthcare,2017,250,6.85115874118457e-05,0.793933663808702,0.8167400557920348,5.83375583579885e-25,0.34957307287859785,0.346950383656334,0.004594937538290129,133.28802738468235,5.833755835799095e-25
VGHCX,healthcare,2018,250,0.00015025709976581767,0.8289183024702348,0.562611289959205,5.3934573445187705e-96,0.825488077679718,0.8247844005735878,0.004097280797783295,1173.1063444986023,5.393457344519134e-96
VGHCX,healthcare,2019,250,-4.637548248548899e-05,0.8353294661664206,0.8891029703535834,8.496044748620502e-54,0.6183844259149024,0.6168456534387528,0.0052025514178787435,401.86865537279596,8.496044748621084e-54
VGHCX,healthcare,2020,250,-2.1401591804957216e-05,0.7614855751420655,0.9606504281694553,2.9538536032644864e-103,0.8474857547800003,0.8468707779847584,0.006845913161483484,1378.0776142075342,2.9538536032644696e-103
VGHCX,healthcare,2021,250,-6.083407173401764e-05,0.5875437554023369,0.8550238050978715,5.625327917243121e-35,0.45937643140939644,0.4571964976650794,0.005210829104759366,210.72953827472185,5.625327917242906e-35
VGHCX,healthcare,2022,250,0.0005479195463500068,0.7013680240295075,0.19380097979258712,3.15035908601163e-71,0.7237343522373394,0.7226203778511996,0.006641901816246189,649.6867084577103,3.1503590860116907e-71
VGHCX,healthcare,2023,250,-0.0003498616518491366,0.6120429245344245,0.31260645737681736,2.077710086668545e-35,0.4636816910099504,0.46151911718337757,0.005428550898949992,214.41195917218104,2.077710086668554e-35
VGHCX,healthcare,2024,250,-0.0006269044794538037,0.5560757547407367,0.09497461579777594,5.455415436242471e-26,0.3617981755881565,0.3592247811348829,0.005870987563587914,140.59180671968903,5.455415436242588e-26
VGHCX,healthcare,2025,249,0.00033002087624929436,0.4912972965155004,0.5638715141296631,8.678604517905318e-22,0.311466104349716,0.3086785177276501,0.00899394112232785,111.73324691839827,8.67860451790513e-22
FSMEX,healthcare,1999,250,-7.721003524116382e-05,0.7663744268817607,0.8858456722443271,3.0344844050058905e-41,0.5185459522047331,0.5166046052378166,0.008473550615938978,267.10627262492,3.0344844050060515e-41
FSMEX,healthcare,2000,250,0.0019655587505179907,0.5224484958418351,0.010344020146928512,1.1297302899683055e-20,0.29613762485318407,0.2932994701146888,0.012027676044038416,104.34160647991825,1.1297302899683502e-20
FSMEX,healthcare,2001,249,0.0003408060706473235,0.4935957667461026,0.5716382150771058,3.643377869873883e-24,0.3410769496690428,0.33840924501183245,0.009492922170673672,127.85408937498748,3.643377869873958e-24
FSMEX,healthcare,2002,251,0.0003717725547864308,0.5847076901152941,0.5400108676444004,2.093877402450484e-40,0.5096065172261415,0.5076370654880938,0.009585040576571644,258.7555243833137,2.0938774024505207e-40
FSMEX,healthcare,2003,250,0.0004918226267154415,0.6849110626063111,0.14100563142187814,1.9006799136419048e-57,0.6433382525848326,0.6419001003775133,0.005244900738261613,447.336693091785,1.9006799136420316e-57
FSMEX,healthcare,2004,250,0.00032356400259673346,0.857593271231204,0.3466466378620964,1.427884063525063e-45,0.5555984036780344,0.5538064617573812,0.00541510013694074,310.0538010046341,1.427884063525057e-45
FSMEX,healthcare,2005,250,0.00020414584300916118,0.6718986772059364,0.44118104962578997,1.739035564251122e-41,0.5206947735943883,0.5187620912298495,0.0041803060083780265,269.4155972798223,1.7390355642511424e-41
FSMEX,healthcare,2006,250,-0.0003277429577406184,0.8924212696289376,0.2999295595458861,1.1303080112316956e-45,0.5564325358891791,0.5546439574048612,0.0049701216855098625,311.10322570016,1.1303080112316038e-45
FSMEX,healthcare,2007,250,0.000528167574526819,0.680047500044824,0.0643671647009206,1.9098643461653746e-66,0.6981201073908715,0.696902849759383,0.004493016613759741,573.5187764132019,1.9098643461652379e-66
FSMEX,healthcare,2008,250,2.84654368470024e-06,0.6376258089441589,0.9960074312111902,1.402159732525647e-82,0.776177761282872,0.7752752522557868,0.008970271468897896,860.0221582156028,1.4021597325257197e-82
FSMEX,healthcare,2009,250,0.0005737903809324457,0.5960678519783033,0.3122596225337293,1.6033430798212736e-45,0.5551841661923145,0.553390553959219,0.008944062688336234,309.53410996430927,1.6033430798213427e-45
FSMEX,healthcare,2010,250,8.840436912283686e-05,0.8003148245241165,0.7884823494875128,4.411683043007979e-77,0.7521517272646675,0.751152339068154,0.005198215319753488,752.612178019209,4.4116830430075715e-77
FSMEX,healthcare,2011,250,-0.00017760722155560175,1.0017634487280636,0.5754915302870327,3.212452263362267e-123,0.8947049149318776,0.8942803379759579,0.005007953042319519,2107.285622681747,3.212452263362091e-123
FSMEX,healthcare,2012,250,1.9717621639016184e-05,0.9364195613625232,0.944307568559754,1.8690195291993835e-73,0.7349085052515673,0.7338395879340331,0.004449633540205272,687.5260538831988,1.8690195291995503e-73
FSMEX,healthcare,2013,250,0.0004065039013116939,0.8996548326879669,0.13898355918834282,3.0287076870591104e-62,0.6736786248559316,0.6723628128593828,0.004282009610570442,511.9869910161718,3.0287076870586873e-62
FSMEX,healthcare,2014,250,0.0004772427403960835,1.08701917633325,0.4908490740270799,1.6415511693368718e-23,0.33196684615120275,0.3292731640792317,0.010895617697471525,123.23905987476242,1.6415511693369062e-23
FSMEX,healthcare,2015,250,0.00025044793023517605,0.9192353623073078,0.5040224388742431,3.279490037520268e-66,0.6968032811430063,0.6955807137282604,0.0059172502094066316,569.9508041344342,3.2794900375202424e-66
FSMEX,healthcare,2016,250,-4.386352840149907e-05,0.9379556066953799,0.9263500342926634,6.56953019821064e-41,0.515548748173687,0.5135953157066453,0.007479147381682711,263.9194120462584,6.569530198210426e-41
FSMEX,healthcare,2017,250,0.00021436034203360085,0.9743758490188765,0.5263664403686932,9.553164441247666e-28,0.38214709943180236,0.37965575709080146,0.005256769049202596,153.3900392341464,9.55316444124784e-28
FSMEX,healthcare,2018,250,0.00074923458817141,1.011655456319333,0.020083217550458474,6.553605888413655e-95,0.8219407607473055,0.8212227799438672,0.005061992260100823,1144.7948981521163,6.553605888414088e-95
FSMEX,healthcare,2019,250,1.4566554161273357e-05,1.0404794244035003,0.9716492827473697,1.6392528542248133e-54,0.6234025323450967,0.6218839941690688,0.006411545361960231,410.5280605956063,1.6392528542247678e-54
FSMEX,healthcare,2020,250,0.0005051171949060991,0.8639962393006806,0.38207702945665745,4.8309371188850566e-89,0.8014637898753026,0.8006632406409289,0.009113190873963015,1001.1424100633088,4.830937118885083e-89
FSMEX,healthcare,2021,250,-5.296803744059323e-06,0.8750293607404838,0.9917844819765775,3.478913999213993e-33,0.4411807440634159,0.4389274406120587,0.00805106838141101,195.79286748870285,3.4789139992138204e-33
FSMEX,healthcare,2022,250,-0.00013560591984669834,1.0791323380489235,0.8167577344586339,2.3139372998927427e-79,0.7624143287274036,0.7614563219884012,0.009233406259112271,795.833993319633,2.31393729989279e-79
FSMEX,healthcare,2023,250,-0.0007737203251175575,0.8980473927112409,0.11970867496439035,1.3204339105930444e-36,0.4754178576320036,0.47330260705793903,0.00777980939439638,224.75722898326765,1.3204339105930417e-36
FSMEX,healthcare,2024,250,-0.00025016659656404964,0.7226690658929558,0.5905163901504777,7.715362671646835e-28,0.38320404795918284,0.38071696750740525,0.007288305096588052,154.07786575030622,7.715362671646795e-28
FSMEX,healthcare,2025,249,-0.0003269470466540719,0.8021711660504172,0.514015460177854,1.4185279653517075e-52,0.6111299477386953,0.6095555750574755,0.007878633751752248,388.17362307454357,1.4185279653516524e-52
PRHSX,healthcare,1999,250,-0.0001582135840196833,0.779218857925456,0.7692376610438284,4.9598420924632314e-42,0.5255022677586125,0.5235889704511876,0.0084963003070891,274.6579246828454,4.9598420924636144e-42
PRHSX,healthcare,2000,250,0.0022028946593764145,0.8187143691182663,0.0681323360628726,2.1267708487282197e-20,0.29257113457175876,0.28971859882406414,0.019010748704669695,102.56528241871145,2.1267708487282285e-20
PRHSX,healthcare,2001,249,0.00039340026889863726,0.881393074119381,0.6440299151082868,3.6934982662868564e-34,0.45248230858807337,0.4502656377726405,0.013415449816459145,204.12697520885914,3.693498266286801e-34
PRHSX,healthcare,2002,251,-0.0003773373024464101,0.8138714025034136,0.6002888591572872,6.897637657945398e-50,0.5882545893133027,0.5866009932864484,0.011378573050772622,355.7426238090301,6.897637657945825e-50
PRHSX,healthcare,2003,250,0.0004896266185928825,0.8637129941598235,0.30784999483985814,9.898666789815804e-49,0.5808440808478825,0.5791539360125917,0.007546090070797033,343.6652698157351,9.898666789815472e-49
PRHSX,healthcare,2004,250,8.244885142367417e-05,1.2378370142715798,0.8474504126596518,7.116810438023462e-55,0.6259220523710454,0.6244136735499608,0.006756195510692778,414.96343201174074,7.116810438023523e-55
PRHSX,healthcare,2005,250,0.00038763228972361864,1.0105469452316986,0.3384199973398315,1.2449915060865325e-40,0.5130541304007562,0.5110906389910818,0.006384179037479105,261.2968551188326,1.2449915060865873e-40
PRHSX,healthcare,2006,250,-0.00019337209645238048,1.0230842751506655,0.5565992479901403,1.0340115225780028e-51,0.6033562924549297,0.6017569226664414,0.0051742605858589264,377.2462733744994,1.0340115225779694e-51
PRHSX,healthcare,2007,250,0.0005526010070842268,0.7505700453085988,0.016394767806671637,2.5012927319287477e-92,0.8132046687063914,0.8124514617253688,0.0036142738967421045,1079.6563085518917,2.5012927319288083e-92
PRHSX,healthcare,2008,250,3.4191797411092295e-05,0.7766942139275287,0.9520018513457447,6.770162172964815e-100,0.8376737790248494,0.8370192378112399,0.008957269211195799,1279.7876766315198,6.770162172965161e-100
PRHSX,healthcare,2009,250,0.0004735082765485585,0.6917550158192043,0.3307211836750983,5.053992565899089e-66,0.6957457790645653,0.6945189475285352,0.007668543482121843,567.107837247154,5.053992565899727e-66
PRHSX,healthcare,2010,250,0.00010605759481343927,0.9435552264845996,0.7440894164738623,3.44337684182435e-92,0.8127229730071657,0.8119678237047752,0.00512497195637464,1076.241440513091,3.4433768418242e-92
PRHSX,healthcare,2011,250,0.00036376271797962747,1.0558787780036814,0.31564971993148544,1.5265484729507165e-115,0.8785809549055618,0.8780913619817938,0.005720019420822333,1794.5131807543758,1.5265484729508057e-115
PRHSX,healthcare,2012,250,0.0005746714482541286,0.9778643089208587,0.0925996103527909,2.001845742769882e-62,0.6747643875124918,0.6734529535911711,0.005371233997828483,514.5241224453098,2.001845742769809e-62
PRHSX,healthcare,2013,250,0.00048326044085600573,1.0834249615848497,0.16616742075348528,2.0717495423492636e-58,0.6496430580600343,0.6482303284554376,0.0054411680962787295,459.8495394633717,2.0717495423492127e-58
PRHSX,healthcare,2014,250,0.0004240490379369095,1.296573067775593,0.36117309644515494,7.7704688435460605e-53,0.6115289340791192,0.6099625184907285,0.0073018150519541134,390.4001840963614,7.770468843546273e-53
PRHSX,healthcare,2015,250,0.00045360837006418067,0.986989761583889,0.3746181872657852,1.1718070863863717e-49,0.587975414433916,0.5863140249759882,0.008062703429136979,353.9058296224502,1.1718070863863774e-49
PRHSX,healthcare,2016,250,-0.0008852574884957311,1.125132901532306,0.09231423870410475,1.169309463297543e-45,0.5563115541968342,0.5545224878831116,0.008265392446691442,310.95077355703916,1.169309463297451e-45
PRHSX,healthcare,2017,250,0.00014534658267279654,1.0895926744417717,0.6990524373016701,5.33948113843305e-28,0.38502075587004025,0.38254100085338716,0.0058427520681974855,155.26564248661322,5.339481138433156e-28
PRHSX,healthcare,2018,250,0.00020143778872558013,1.0775198400314698,0.5632129798772809,3.950665758199248e-93,0.8159616955956122,0.8152196056584977,0.005501376297984125,1099.5455601626766,3.950665758199295e-93
PRHSX,healthcare,2019,250,-2.216503091958526e-05,1.034028989076798,0.9585371704597138,1.707335483327923e-51,0.6017531312041207,0.6001472970557502,0.0066692120495983,374.72931548675143,1.7073354833279844e-51
PRHSX,healthcare,2020,250,0.0005537841755519636,0.8568200066643669,0.3110458452666395,3.5011454315286387e-93,0.8161407271619641,0.8153993591263268,0.008618477379143816,1100.8577223867649,3.501145431528491e-93
PRHSX,healthcare,2021,250,-0.0002917603217938646,0.8156715908166066,0.5461544801917252,8.119513714253261e-33,0.43736743044588655,0.43509875072994253,0.007563242651245442,192.78500502830846,8.119513714252898e-33
PRHSX,healthcare,2022,250,0.00021905390566936186,0.8559642302877314,0.636357474536626,1.5625081033714647e-79,0.7631645478418743,0.7622095661799463,0.007308740106214948,799.140526218263,1.5625081033714114e-79
PRHSX,healthcare,2023,250,-0.0005029166321223068,0.7032550533272847,0.1647585542922354,1.7996556776202996e-40,0.5116104803466981,0.5096411677674508,0.00566665807156655,259.7914042382611,1.799655677620406e-40
PRHSX,healthcare,2024,250,-0.0006128694223191734,0.7098914658178148,0.12971751528303513,2.325411935768461e-33,0.4429841628522687,0.44073813125086647,0.006327949328519693,197.22971064865013,2.3254119357685522e-33
PRHSX,healthcare,2025,249,0.00024182384547822514,0.6147700002380123,0.652743631411745,2.001429808939089e-33,0.4449759684616139,0.44272890760518324,0.008453735991482261,198.02577539819046,2.0014298089392335e-33
