,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,8.0,25.0,27.0,6.0,14.0
FSENX,8.0,0.0,25.0,29.0,2.0,16.0
ICPAX,25.0,25.0,0.0,36.0,25.0,33.0
PRNEX,27.0,29.0,36.0,0.0,31.0,13.0
RYEIX,6.0,2.0,25.0,31.0,0.0,18.0
VGENX,14.0,16.0,33.0,13.0,18.0,0.0
