,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,8.0,14.0,19.0,6.0,12.0
FSENX,8.0,0.0,12.0,18.0,2.0,12.0
ICPAX,14.0,12.0,0.0,21.0,13.0,19.0
PRNEX,19.0,18.0,21.0,0.0,19.0,12.0
RYEIX,6.0,2.0,13.0,19.0,0.0,14.0
VGENX,12.0,12.0,19.0,12.0,14.0,0.0
