,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,14.0,42.0,15.0,13.0,14.0,14.0,14.0,17.0,9.0,10.0
DFREX,14.0,0.0,40.0,17.0,9.0,18.0,6.0,24.0,15.0,15.0,12.0
DPREX,42.0,40.0,0.0,43.0,37.0,44.0,38.0,54.0,39.0,45.0,40.0
FREAX,15.0,17.0,43.0,0.0,18.0,15.0,17.0,23.0,18.0,18.0,13.0
FRESX,13.0,9.0,37.0,18.0,0.0,13.0,5.0,21.0,14.0,18.0,9.0
IARAX,14.0,18.0,44.0,15.0,13.0,0.0,14.0,18.0,15.0,19.0,8.0
PHRAX,14.0,6.0,38.0,17.0,5.0,14.0,0.0,22.0,17.0,17.0,8.0
RPFRX,14.0,24.0,54.0,23.0,21.0,18.0,22.0,0.0,23.0,19.0,14.0
SOAAX,17.0,15.0,39.0,18.0,14.0,15.0,17.0,23.0,0.0,16.0,15.0
STMDX,9.0,15.0,45.0,18.0,18.0,19.0,17.0,19.0,16.0,0.0,15.0
TRREX,10.0,12.0,40.0,13.0,9.0,8.0,8.0,14.0,15.0,15.0,0.0
