Fund,I_without_fund,marginal_impact
FSELX,8.710000000000004,0.3147933884297487
FDCPX,8.730000000000004,0.2947933884297491
RSIFX,8.800000000000002,0.2247933884297506
SHGTX,8.930000000000003,0.09479338842974983
ROGSX,8.940000000000003,0.08479338842975004
SLMCX,8.950000000000001,0.07479338842975203
ICTEX,8.980000000000004,0.044793388429749115
FSCSX,9.010000000000005,0.014793388429747978
FSPTX,9.010000000000005,0.014793388429747978
KTCAX,9.090000000000005,-0.0652066115702521
MTCAX,9.130000000000006,-0.10520661157025302
