,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,23.0,21.0,22.0,24.0,20.0,19.0,21.0,21.0,24.0,24.0
FSCSX,23.0,0.0,24.0,19.0,16.0,15.0,18.0,18.0,22.0,19.0,17.0
FSELX,21.0,24.0,0.0,22.0,23.0,24.0,22.0,21.0,16.0,24.0,24.0
FSPTX,22.0,19.0,22.0,0.0,19.0,17.0,13.0,20.0,19.0,20.0,20.0
ICTEX,24.0,16.0,23.0,19.0,0.0,16.0,18.0,15.0,23.0,20.0,20.0
KTCAX,20.0,15.0,24.0,17.0,16.0,0.0,10.0,19.0,24.0,18.0,20.0
MTCAX,19.0,18.0,22.0,13.0,18.0,10.0,0.0,18.0,21.0,20.0,20.0
ROGSX,21.0,18.0,21.0,20.0,15.0,19.0,18.0,0.0,20.0,24.0,22.0
RSIFX,21.0,22.0,16.0,19.0,23.0,24.0,21.0,20.0,0.0,23.0,23.0
SHGTX,24.0,19.0,24.0,20.0,20.0,18.0,20.0,24.0,23.0,0.0,7.0
SLMCX,24.0,17.0,24.0,20.0,20.0,20.0,20.0,22.0,23.0,7.0,0.0
