,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,20.0,50.0,18.0,17.0,19.0,19.0,19.0,17.0,8.0,20.0
DFREX,20.0,0.0,44.0,18.0,7.0,21.0,5.0,27.0,19.0,16.0,14.0
DPREX,50.0,44.0,0.0,48.0,41.0,51.0,41.0,57.0,45.0,50.0,46.0
FREAX,18.0,18.0,48.0,0.0,15.0,15.0,15.0,25.0,23.0,18.0,18.0
FRESX,17.0,7.0,41.0,15.0,0.0,16.0,4.0,24.0,18.0,15.0,11.0
IARAX,19.0,21.0,51.0,15.0,16.0,0.0,16.0,20.0,20.0,17.0,15.0
PHRAX,19.0,5.0,41.0,15.0,4.0,16.0,0.0,26.0,18.0,17.0,13.0
RPFRX,19.0,27.0,57.0,25.0,24.0,20.0,26.0,0.0,22.0,19.0,19.0
SOAAX,17.0,19.0,45.0,23.0,18.0,20.0,18.0,22.0,0.0,15.0,17.0
STMDX,8.0,16.0,50.0,18.0,15.0,17.0,17.0,19.0,15.0,0.0,18.0
TRREX,20.0,14.0,46.0,18.0,11.0,15.0,13.0,19.0,17.0,18.0,0.0
