,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,17.0,18.0,10.0,15.0,12.0,15.0,15.0,15.0,8.0,17.0
DFREX,17.0,0.0,12.0,13.0,7.0,16.0,5.0,17.0,15.0,12.0,11.0
DPREX,18.0,12.0,0.0,13.0,10.0,17.0,11.0,19.0,17.0,17.0,13.0
FREAX,10.0,13.0,13.0,0.0,11.0,9.0,11.0,16.0,16.0,11.0,14.0
FRESX,15.0,7.0,10.0,11.0,0.0,12.0,4.0,16.0,15.0,12.0,10.0
IARAX,12.0,16.0,17.0,9.0,12.0,0.0,13.0,14.0,15.0,9.0,12.0
PHRAX,15.0,5.0,11.0,11.0,4.0,13.0,0.0,18.0,15.0,12.0,11.0
RPFRX,15.0,17.0,19.0,16.0,16.0,14.0,18.0,0.0,18.0,14.0,15.0
SOAAX,15.0,15.0,17.0,16.0,15.0,15.0,15.0,18.0,0.0,12.0,17.0
STMDX,8.0,12.0,17.0,11.0,12.0,9.0,12.0,14.0,12.0,0.0,15.0
TRREX,17.0,11.0,13.0,14.0,10.0,12.0,11.0,15.0,17.0,15.0,0.0
