Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8
FSHCX,2013,0.0738962826120323,healthcare,1,2
FSHCX,2014,0.1082214932315382,healthcare,3,4
FSHCX,2015,0.1229209275581259,healthcare,3,5
FSHCX,2016,0.1169049773314694,healthcare,3,5
FSHCX,2017,0.0905092810249746,healthcare,2,3
FSHCX,2018,0.105177367171332,healthcare,3,4
FSHCX,2019,0.1641402832422357,healthcare,5,7
FSHCX,2020,0.1919163543499252,healthcare,5,8
FSHCX,2021,0.1275345412796366,healthcare,4,6
FSHCX,2022,0.148763747033164,healthcare,4,7
FSHCX,2023,0.1403963827403584,healthcare,4,6
FSHCX,2024,0.1535585404231609,healthcare,4,7
FSHCX,2025,0.2068946477784715,healthcare,5,8
FSMEX,1999,0.1334416085414817,healthcare,4,6
FSMEX,2000,0.1894120317536428,healthcare,5,8
FSMEX,2001,0.14919298281287,healthcare,4,7
FSMEX,2002,0.1512493891253004,healthcare,4,7
FSMEX,2003,0.0825967794229639,healthcare,2,3
FSMEX,2004,0.085277082233667,healthcare,2,3
FSMEX,2005,0.0658315248514943,healthcare,1,1
FSMEX,2006,0.0782695545730024,healthcare,2,2
FSMEX,2007,0.0707560963896195,healthcare,1,2
FSMEX,2008,0.1412639763562505,healthcare,4,6
FSMEX,2009,0.1408512400672289,healthcare,4,6
FSMEX,2010,0.081861576717095,healthcare,2,2
FSMEX,2011,0.07886532337581,healthcare,2,2
FSMEX,2012,0.0700728990640861,healthcare,1,2
FSMEX,2013,0.0674331547804512,healthcare,1,2
FSMEX,2014,0.1715843590842261,healthcare,5,7
FSMEX,2015,0.0931849494827311,healthcare,2,3
FSMEX,2016,0.1177817307485284,healthcare,3,5
FSMEX,2017,0.0827836817705651,healthcare,2,3
FSMEX,2018,0.0797163338284409,healthcare,2,2
FSMEX,2019,0.1009691173293169,healthcare,3,4
FSMEX,2020,0.1435146733979141,healthcare,4,6
FSMEX,2021,0.1267883516588751,healthcare,4,5
FSMEX,2022,0.1454078271763993,healthcare,4,7
FSMEX,2023,0.1225165608595757,healthcare,3,5
FSMEX,2024,0.1147763434374688,healthcare,3,5
FSMEX,2025,0.1238224488498734,healthcare,3,5
FSPHX,1999,0.1438275740062244,healthcare,4,6
FSPHX,2000,0.2230848074620351,healthcare,5,8
FSPHX,2001,0.1653846155708402,healthcare,5,7
FSPHX,2002,0.1504550866750706,healthcare,4,7
FSPHX,2003,0.0913650064719895,healthcare,2,3
FSPHX,2004,0.0817134821236643,healthcare,2,2
FSPHX,2005,0.0673749677082946,healthcare,1,2
FSPHX,2006,0.0659592511698352,healthcare,1,1
FSPHX,2007,0.0534820970256923,healthcare,1,1
FSPHX,2008,0.1159325582466785,healthcare,3,5
FSPHX,2009,0.1243376526634966,healthcare,4,5
FSPHX,2010,0.0710282380108307,healthcare,1,2
FSPHX,2011,0.0719291328070732,healthcare,1,2
FSPHX,2012,0.0677094677399527,healthcare,1,2
FSPHX,2013,0.0765806401703957,healthcare,1,2
FSPHX,2014,0.1584050298228956,healthcare,5,7
FSPHX,2015,0.1237610147190931,healthcare,3,5
FSPHX,2016,0.1268205358844844,healthcare,4,5
FSPHX,2017,0.0808324054062099,healthcare,2,2
FSPHX,2018,0.0795816653213817,healthcare,2,2
FSPHX,2019,0.1004068521525927,healthcare,3,4
FSPHX,2020,0.1348204765315341,healthcare,4,6
FSPHX,2021,0.1023523472269407,healthcare,3,4
FSPHX,2022,0.1309328908919738,healthcare,4,6
FSPHX,2023,0.0973773576484716,healthcare,2,4
