Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8,Cluster_k9,Cluster_k11,Cluster_k12
FIUIX,2017,0.0650732758546085,utilities,1,1,2,2,2
FIUIX,2018,0.0998028156298948,utilities,3,4,4,5,5
FIUIX,2019,0.0834399999386324,utilities,2,3,3,3,4
FIUIX,2020,0.148302465776749,utilities,4,7,7,9,10
FIUIX,2021,0.1040128905061389,utilities,3,4,4,5,6
FIUIX,2022,0.1319771435527562,utilities,4,6,6,8,8
FIUIX,2023,0.1236841926899299,utilities,3,5,6,7,8
FIUIX,2024,0.135197247656734,utilities,4,6,7,8,9
FIUIX,2025,0.1244653303953545,utilities,4,5,6,7,8
FKUTX,1999,0.1093195912856654,utilities,3,4,5,6,6
FKUTX,2000,0.177885062739953,utilities,5,7,8,10,11
FKUTX,2001,0.1705190456867828,utilities,5,7,8,10,11
FKUTX,2002,0.177138444833053,utilities,5,7,8,10,11
FKUTX,2003,0.0884844380236383,utilities,2,3,3,4,4
FKUTX,2004,0.075292753068978,utilities,1,2,2,3,3
FKUTX,2005,0.0798238410707731,utilities,2,2,3,3,3
FKUTX,2006,0.0766765018926077,utilities,1,2,2,3,3
FKUTX,2007,0.1021699816535132,utilities,3,4,4,5,6
FKUTX,2008,0.1631308200358642,utilities,5,7,8,10,10
FKUTX,2009,0.1205989566460142,utilities,3,5,6,7,7
FKUTX,2010,0.071719708432078,utilities,1,2,2,2,2
FKUTX,2011,0.0776009533639622,utilities,2,2,2,3,3
FKUTX,2012,0.0680241708824835,utilities,1,2,2,2,2
FKUTX,2013,0.0788164868339325,utilities,2,2,2,3,3
FKUTX,2014,0.0988818249895888,utilities,2,4,4,5,5
FKUTX,2015,0.125064703309642,utilities,4,5,6,7,8
FKUTX,2016,0.1335616567602126,utilities,4,6,7,8,9
FKUTX,2017,0.0903292050474881,utilities,2,3,3,4,4
FKUTX,2018,0.1370985378936207,utilities,4,6,7,8,9
FKUTX,2019,0.103065080190439,utilities,3,4,4,5,6
FKUTX,2020,0.206541557781056,utilities,5,8,9,10,11
FKUTX,2021,0.1261038976753079,utilities,4,5,6,7,8
FKUTX,2022,0.1562501961832946,utilities,4,7,8,9,10
FKUTX,2023,0.1469436713621382,utilities,4,7,7,9,10
FKUTX,2024,0.1408688032420146,utilities,4,6,7,9,9
FKUTX,2025,0.1323390529894378,utilities,4,6,7,8,9
FSUTX,1999,0.1109064138407114,utilities,3,4,5,6,6
FSUTX,2000,0.1818649840331135,utilities,5,7,8,10,11
FSUTX,2001,0.1516690035181087,utilities,4,7,8,9,10
FSUTX,2002,0.1610968014139076,utilities,5,7,8,9,10
FSUTX,2003,0.0966405366379426,utilities,2,3,4,5,5
FSUTX,2004,0.0727535420643165,utilities,1,2,2,2,3
FSUTX,2005,0.0692497371638209,utilities,1,2,2,2,2
FSUTX,2006,0.0651282941691734,utilities,1,1,2,2,2
FSUTX,2007,0.1164580886476184,utilities,3,5,5,6,7
FSUTX,2008,0.1942982179175246,utilities,5,8,8,10,11
FSUTX,2009,0.1426816197372399,utilities,4,6,7,9,9
FSUTX,2010,0.0786427061189087,utilities,2,2,2,3,3
FSUTX,2011,0.0858938303187791,utilities,2,3,3,4,4
FSUTX,2012,0.0732840166392854,utilities,1,2,2,2,3
FSUTX,2013,0.0787286973373498,utilities,2,2,2,3,3
FSUTX,2014,0.0994034764358243,utilities,2,4,4,5,5
FSUTX,2015,0.1270747579882334,utilities,4,5,6,7,8
FSUTX,2016,0.1354733180715439,utilities,4,6,7,8,9
FSUTX,2017,0.0881056224600922,utilities,2,3,3,4,4
FSUTX,2018,0.1254355409016192,utilities,4,5,6,7,8
FSUTX,2019,0.0993505618557655,utilities,2,4,4,5,5
FSUTX,2020,0.2088458586700968,utilities,5,8,9,11,11
FSUTX,2021,0.1237893319359869,utilities,3,5,6,7,8
FSUTX,2022,0.1549672212364944,utilities,4,7,8,9,10
FSUTX,2023,0.1450727876426888,utilities,4,7,7,9,10
FSUTX,2024,0.1534801108960122,utilities,4,7,8,9,10
FSUTX,2025,0.1385570780142616,utilities,4,6,7,8,9
FUGAX,1999,0.1133760813531983,utilities,3,5,5,6,7
FUGAX,2000,0.2265549049702378,utilities,5,8,9,11,12
FUGAX,2001,0.1441237305526204,utilities,4,7,7,9,10
FUGAX,2002,0.1634863372942168,utilities,5,7,8,10,10
FUGAX,2003,0.0963717343461571,utilities,2,3,4,5,5
FUGAX,2004,0.0726579819570815,utilities,1,2,2,2,2
FUGAX,2005,0.0690214065539389,utilities,1,2,2,2,2
FUGAX,2006,0.0664494094290254,utilities,1,2,2,2,2
FUGAX,2007,0.1157737431491221,utilities,3,5,5,6,7
FUGAX,2008,0.1934410294252017,utilities,5,8,8,10,11
FUGAX,2009,0.1435396011089515,utilities,4,6,7,9,9
FUGAX,2010,0.0791206194281331,utilities,2,2,2,3,3
FUGAX,2011,0.0865637260832743,utilities,2,3,3,4,4
FUGAX,2012,0.0732276415488686,utilities,1,2,2,2,3
FUGAX,2013,0.0789886172456064,utilities,2,2,2,3,3
FUGAX,2014,0.1026539071705142,utilities,3,4,4,5,6
FUGAX,2015,0.1269174092209773,utilities,4,5,6,7,8
FUGAX,2016,0.1349200509417663,utilities,4,6,7,8,9
FUGAX,2017,0.0892676989681166,utilities,2,3,3,4,4
FUGAX,2018,0.1258056433817942,utilities,4,5,6,7,8
FUGAX,2019,0.0987588121285305,utilities,2,4,4,5,5
FUGAX,2020,0.2070643898102925,utilities,5,8,9,10,11
FUGAX,2021,0.1241247395893638,utilities,4,5,6,7,8
FUGAX,2022,0.1540254447535789,utilities,4,7,8,9,10
FUGAX,2023,0.145483818610405,utilities,4,7,7,9,10
FUGAX,2024,0.152630012975293,utilities,4,7,8,9,10
FUGAX,2025,0.1248176803245348,utilities,4,5,6,7,8
GASFX,1999,0.1031349229618903,utilities,3,4,4,5,6
GASFX,2000,0.1605225517640591,utilities,5,7,8,9,10
GASFX,2001,0.1733142098901141,utilities,5,7,8,10,11
GASFX,2002,0.1811733194361035,utilities,5,7,8,10,11
GASFX,2003,0.0980713006739159,utilities,2,4,4,5,5
GASFX,2004,0.0809395509506898,utilities,2,2,3,3,3
GASFX,2005,0.0813710859739134,utilities,2,2,3,3,3
GASFX,2006,0.0709199407468114,utilities,1,2,2,2,2
GASFX,2007,0.0839464348819978,utilities,2,3,3,3,4
GASFX,2008,0.1535986861784803,utilities,4,7,8,9,10
GASFX,2009,0.1051940105151298,utilities,3,4,5,5,6
GASFX,2010,0.0679353277797597,utilities,1,2,2,2,2
GASFX,2011,0.0758593884556208,utilities,1,2,2,3,3
GASFX,2012,0.0600521491475874,utilities,1,1,1,2,2
GASFX,2013,0.0665734178777792,utilities,1,2,2,2,2
GASFX,2014,0.08936708369407,utilities,2,3,3,4,4
GASFX,2015,0.1126165844998799,utilities,3,5,5,6,7
GASFX,2016,0.1186881442548172,utilities,3,5,6,7,7
GASFX,2017,0.0810301639880844,utilities,2,2,3,3,3
GASFX,2018,0.1153474697602687,utilities,3,5,5,6,7
GASFX,2019,0.0839671391101331,utilities,2,3,3,3,4
GASFX,2020,0.1764570719495504,utilities,5,7,8,10,11
GASFX,2021,0.1086673265781371,utilities,3,4,5,6,6
GASFX,2022,0.1444280802308398,utilities,4,7,7,9,10
GASFX,2023,0.1196951374426994,utilities,3,5,6,7,7
GASFX,2024,0.1181587261555263,utilities,3,5,6,7,7
GASFX,2025,0.1269588072121155,utilities,4,5,6,7,8
ICTUX,1999,0.1192254858688369,utilities,3,5,6,7,7
ICTUX,2000,0.1370016319257102,utilities,4,6,7,8,9
ICTUX,2001,0.1311206844385618,utilities,4,6,6,8,8
ICTUX,2002,0.1365719733546675,utilities,4,6,7,8,9
ICTUX,2003,0.1040587452828461,utilities,3,4,4,5,6
ICTUX,2004,0.1003106792622192,utilities,3,4,4,5,5
ICTUX,2005,0.0729079358018959,utilities,1,2,2,2,3
ICTUX,2006,0.0753436609629986,utilities,1,2,2,3,3
ICTUX,2007,0.0782269942047697,utilities,2,2,2,3,3
ICTUX,2008,0.1352010937384571,utilities,4,6,7,8,9
ICTUX,2009,0.0926738850931054,utilities,2,3,4,4,5
ICTUX,2010,0.0735322551791013,utilities,1,2,2,2,3
ICTUX,2011,0.0808525412974183,utilities,2,2,3,3,3
ICTUX,2012,0.0789574114161996,utilities,2,2,2,3,3
ICTUX,2013,0.0889146462354146,utilities,2,3,3,4,4
ICTUX,2014,0.1101102687757281,utilities,3,4,5,6,6
ICTUX,2015,0.1221610974049837,utilities,3,5,6,7,8
ICTUX,2016,0.1242489297439755,utilities,4,5,6,7,8
ICTUX,2017,0.0838441780369672,utilities,2,3,3,3,4
ICTUX,2018,0.1231078322192739,utilities,3,5,6,7,8
ICTUX,2019,0.0854606815454555,utilities,2,3,3,4,4
ICTUX,2020,0.2158010861728203,utilities,5,8,9,11,11
ICTUX,2021,0.1138377778473673,utilities,3,5,5,6,7
ICTUX,2022,0.1308587823134765,utilities,4,6,6,8,8
ICTUX,2023,0.1344519402509623,utilities,4,6,7,8,9
ICTUX,2024,0.1300005824181422,utilities,4,6,6,8,8
ICTUX,2025,0.1338763404698988,utilities,4,6,7,8,9
MMUFX,1999,0.0716430469430182,utilities,1,2,2,2,2
MMUFX,2000,0.1374602712266598,utilities,4,6,7,8,9
MMUFX,2001,0.1225056871572418,utilities,3,5,6,7,8
MMUFX,2002,0.1273333239016025,utilities,4,5,6,7,8
MMUFX,2003,0.0660410602402965,utilities,1,1,2,2,2
MMUFX,2004,0.059802308894451,utilities,1,1,1,2,2
MMUFX,2005,0.0694875466888066,utilities,1,2,2,2,2
MMUFX,2006,0.0666537097086024,utilities,1,2,2,2,2
MMUFX,2007,0.0696887919412002,utilities,1,2,2,2,2
MMUFX,2008,0.1534215752299122,utilities,4,7,8,9,10
MMUFX,2009,0.104956846659805,utilities,3,4,5,5,6
MMUFX,2010,0.0613035956269904,utilities,1,1,1,2,2
MMUFX,2011,0.0598657013365782,utilities,1,1,1,2,2
MMUFX,2012,0.0532013982724802,utilities,1,1,1,1,1
MMUFX,2013,0.0506528054769143,utilities,1,1,1,1,1
MMUFX,2014,0.0640841863318494,utilities,1,1,2,2,2
MMUFX,2015,0.0929604634369651,utilities,2,3,4,4,5
MMUFX,2016,0.1013661558324224,utilities,3,4,4,5,6
MMUFX,2017,0.0602523108657742,utilities,1,1,1,2,2
MMUFX,2018,0.0768670909635602,utilities,1,2,2,3,3
MMUFX,2019,0.0626756226780448,utilities,1,1,1,2,2
MMUFX,2020,0.1430932793435307,utilities,4,6,7,9,9
MMUFX,2021,0.0975692759798531,utilities,2,4,4,5,5
MMUFX,2022,0.1350467746391261,utilities,4,6,7,8,9
MMUFX,2023,0.1302243880933968,utilities,4,6,6,8,8
MMUFX,2024,0.1389969742079378,utilities,4,6,7,8,9
MMUFX,2025,0.1316265873769208,utilities,4,6,6,8,8
