Fund,Year,L2_Norm,Sector,Cluster_k5
IARAX,2001,0.0841743898814746,real estate,2
IARAX,2002,0.1166621511549098,real estate,3
IARAX,2003,0.0874489325082389,real estate,2
IARAX,2004,0.1440120778636525,real estate,4
IARAX,2005,0.1112482659847291,real estate,3
IARAX,2006,0.1113195970012992,real estate,3
IARAX,2007,0.1567108830913709,real estate,5
IARAX,2008,0.4314057061520549,real estate,5
IARAX,2009,0.321253424286719,real estate,5
IARAX,2010,0.1263709441455371,real estate,4
IARAX,2011,0.1213841484945262,real estate,3
IARAX,2012,0.091058791352884,real estate,2
IARAX,2013,0.1038214896723565,real estate,3
IARAX,2014,0.0809629586959525,real estate,2
IARAX,2015,0.1161775923311635,real estate,3
IARAX,2016,0.1231108667281631,real estate,3
IARAX,2017,0.0874726421439366,real estate,2
IARAX,2018,0.1270055288696221,real estate,4
IARAX,2019,0.1526928877738771,real estate,4
IARAX,2020,0.1945187347506911,real estate,5
IARAX,2021,0.112668888055236,real estate,3
IARAX,2022,0.152558981576439,real estate,4
IARAX,2023,0.1439829501770739,real estate,4
IARAX,2024,0.1399146305087454,real estate,4
IARAX,2025,0.1309245630413364,real estate,4
PHRAX,1999,0.1098438318764381,real estate,3
PHRAX,2000,0.099889208343454,real estate,3
PHRAX,2001,0.0874843499329578,real estate,2
PHRAX,2002,0.1202745756232071,real estate,3
PHRAX,2003,0.0886466857296213,real estate,2
PHRAX,2004,0.1566872488613032,real estate,5
PHRAX,2005,0.1198003572840593,real estate,3
PHRAX,2006,0.118789163962498,real estate,3
PHRAX,2007,0.1692772399478922,real estate,5
PHRAX,2008,0.4418191414333962,real estate,5
PHRAX,2009,0.3405980751485237,real estate,5
PHRAX,2010,0.1369348207299417,real estate,4
PHRAX,2011,0.1304871239421831,real estate,4
PHRAX,2012,0.0958278830823845,real estate,2
PHRAX,2013,0.1113719161938658,real estate,3
PHRAX,2014,0.0904104245656595,real estate,2
PHRAX,2015,0.1261305490815608,real estate,4
PHRAX,2016,0.1323367679712072,real estate,4
PHRAX,2017,0.0963161183644696,real estate,2
PHRAX,2018,0.1396436749187555,real estate,4
PHRAX,2019,0.1104857538744469,real estate,3
PHRAX,2020,0.2087518704294409,real estate,5
PHRAX,2021,0.1187870148202298,real estate,3
PHRAX,2022,0.1480695925452064,real estate,4
PHRAX,2023,0.1424828275871454,real estate,4
PHRAX,2024,0.137688521363149,real estate,4
PHRAX,2025,0.1289768869733882,real estate,4
RPFRX,1999,0.0997035697943542,real estate,3
RPFRX,2000,0.0992441386716531,real estate,2
RPFRX,2001,0.082881600815656,real estate,2
RPFRX,2002,0.1179270932596388,real estate,3
RPFRX,2003,0.0871175550892199,real estate,2
RPFRX,2004,0.1437839718266494,real estate,4
RPFRX,2005,0.108597946087821,real estate,3
RPFRX,2006,0.098763502253454,real estate,2
RPFRX,2007,0.1265751274862551,real estate,4
RPFRX,2008,0.3428296989399701,real estate,5
RPFRX,2009,0.2601203743622169,real estate,5
RPFRX,2010,0.107558026936157,real estate,3
RPFRX,2011,0.1082965186012603,real estate,3
RPFRX,2012,0.0821943679249984,real estate,2
RPFRX,2013,0.1034343230027417,real estate,3
RPFRX,2014,0.0772445671960215,real estate,1
RPFRX,2015,0.1071101826867288,real estate,3
RPFRX,2016,0.1189332915944448,real estate,3
RPFRX,2017,0.0906402582076567,real estate,2
RPFRX,2018,0.1269801019152505,real estate,4
RPFRX,2019,0.1040270573577385,real estate,3
RPFRX,2020,0.2195248640687827,real estate,5
RPFRX,2021,0.1203501749725283,real estate,3
RPFRX,2022,0.1408017093596832,real estate,4
RPFRX,2023,0.1639962200992664,real estate,5
RPFRX,2024,0.1435873781156991,real estate,4
RPFRX,2025,0.1383081289074471,real estate,4
SOAAX,1999,0.088807709841588,real estate,2
SOAAX,2000,0.0947152135050588,real estate,2
SOAAX,2001,0.0811220333668567,real estate,2
SOAAX,2002,0.1237354830571809,real estate,3
SOAAX,2003,0.0799847372128932,real estate,2
SOAAX,2004,0.1600642234355283,real estate,5
SOAAX,2005,0.1156237468266684,real estate,3
SOAAX,2006,0.1044843312390512,real estate,3
SOAAX,2007,0.1594658508233558,real estate,5
SOAAX,2008,0.4349865942905581,real estate,5
SOAAX,2009,0.340982022692184,real estate,5
SOAAX,2010,0.1424125609986712,real estate,4
SOAAX,2011,0.1293827839634903,real estate,4
SOAAX,2012,0.0955864435444269,real estate,2
SOAAX,2013,0.0949243964162371,real estate,2
SOAAX,2014,0.0813814760834618,real estate,2
SOAAX,2015,0.1120483496989196,real estate,3
SOAAX,2016,0.1196262039705612,real estate,3
SOAAX,2017,0.0843580645548243,real estate,2
SOAAX,2018,0.1247053872721609,real estate,4
SOAAX,2019,0.0991446241970122,real estate,2
SOAAX,2020,0.1825234732507149,real estate,5
SOAAX,2021,0.1119749324948285,real estate,3
SOAAX,2022,0.1378747949753387,real estate,4
SOAAX,2023,0.1362321456609456,real estate,4
SOAAX,2024,0.1309817271737552,real estate,4
SOAAX,2025,0.1229054154010882,real estate,3
SPY,1999,7.295920722536886e-06,real estate,1
SPY,2000,7.919289927774363e-06,real estate,1
SPY,2001,7.122641856693431e-06,real estate,1
SPY,2002,8.58067931814203e-06,real estate,1
SPY,2003,8.64934192944911e-06,real estate,1
SPY,2004,7.650076521510294e-06,real estate,1
SPY,2005,6.157244905375693e-06,real estate,1
SPY,2006,5.838773460298096e-06,real estate,1
SPY,2007,6.776067706460308e-06,real estate,1
SPY,2008,6.183331002242675e-06,real estate,1
SPY,2009,6.491415219928968e-06,real estate,1
SPY,2010,5.430407568406071e-06,real estate,1
SPY,2011,4.790213669406377e-06,real estate,1
SPY,2012,5.544198958431018e-06,real estate,1
SPY,2013,6.24315814547322e-06,real estate,1
SPY,2014,5.343786278397521e-06,real estate,1
SPY,2015,4.824160114454516e-06,real estate,1
SPY,2016,4.808953814569827e-06,real estate,1
SPY,2017,3.4974083905991817e-06,real estate,1
SPY,2018,4.696512670229357e-06,real estate,1
SPY,2019,4.484753849945574e-06,real estate,1
SPY,2020,4.466574530142402e-06,real estate,1
SPY,2021,3.128869266939762e-06,real estate,1
SPY,2022,2.5187519170785e-06,real estate,1
SPY,2023,2.142930654048192e-06,real estate,1
SPY,2024,2.340284104344108e-06,real estate,1
SPY,2025,1.529883074361443e-06,real estate,1
STMDX,1999,0.0828952400805066,real estate,2
STMDX,2000,0.0947062439462127,real estate,2
STMDX,2001,0.0866152192601339,real estate,2
STMDX,2002,0.1289516189665203,real estate,4
STMDX,2003,0.083525111338819,real estate,2
STMDX,2004,0.1594158779839599,real estate,5
STMDX,2005,0.1122902919119466,real estate,3
STMDX,2006,0.0984064266023845,real estate,2
STMDX,2007,0.1353777866668508,real estate,4
STMDX,2008,0.4090229092445462,real estate,5
STMDX,2009,0.2968442119010217,real estate,5
