,ETHSX,FACDX,FBDIX,FSHCX,FSMEX,FSPHX,PHSTX,PRHSX,VGHCX
ETHSX,0.0,32.0,123.0,79.0,47.0,38.0,23.0,33.0,40.0
FACDX,32.0,0.0,115.0,73.0,25.0,6.0,29.0,29.0,48.0
FBDIX,123.0,115.0,0.0,54.0,102.0,113.0,140.0,94.0,161.0
FSHCX,79.0,73.0,54.0,0.0,64.0,77.0,92.0,58.0,113.0
FSMEX,47.0,25.0,102.0,64.0,0.0,25.0,44.0,40.0,61.0
FSPHX,38.0,6.0,113.0,77.0,25.0,0.0,33.0,33.0,50.0
PHSTX,23.0,29.0,140.0,92.0,44.0,33.0,0.0,46.0,27.0
PRHSX,33.0,29.0,94.0,58.0,40.0,33.0,46.0,0.0,67.0
VGHCX,40.0,48.0,161.0,113.0,61.0,50.0,27.0,67.0,0.0
