,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,16.0,19.0,16.0,17.0,19.0,18.0,15.0,15.0,18.0,17.0
FSCSX,16.0,0.0,22.0,11.0,11.0,9.0,9.0,14.0,18.0,14.0,14.0
FSELX,19.0,22.0,0.0,22.0,22.0,23.0,22.0,21.0,13.0,22.0,22.0
FSPTX,16.0,11.0,22.0,0.0,13.0,11.0,9.0,17.0,17.0,14.0,13.0
ICTEX,17.0,11.0,22.0,13.0,0.0,9.0,11.0,12.0,21.0,16.0,16.0
KTCAX,19.0,9.0,23.0,11.0,9.0,0.0,6.0,12.0,22.0,10.0,10.0
MTCAX,18.0,9.0,22.0,9.0,11.0,6.0,0.0,9.0,20.0,13.0,13.0
ROGSX,15.0,14.0,21.0,17.0,12.0,12.0,9.0,0.0,19.0,19.0,20.0
RSIFX,15.0,18.0,13.0,17.0,21.0,22.0,20.0,19.0,0.0,22.0,20.0
SHGTX,18.0,14.0,22.0,14.0,16.0,10.0,13.0,19.0,22.0,0.0,3.0
SLMCX,17.0,14.0,22.0,13.0,16.0,10.0,13.0,20.0,20.0,3.0,0.0
