,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,20.0,37.0,16.0,20.0,21.0,19.0,16.0,22.0,23.0,20.0
FSCSX,20.0,0.0,49.0,12.0,14.0,11.0,11.0,16.0,30.0,17.0,18.0
FSELX,37.0,49.0,0.0,41.0,55.0,52.0,48.0,53.0,19.0,44.0,43.0
FSPTX,16.0,12.0,41.0,0.0,16.0,11.0,9.0,20.0,22.0,15.0,14.0
ICTEX,20.0,14.0,55.0,16.0,0.0,9.0,11.0,12.0,36.0,19.0,20.0
KTCAX,21.0,11.0,52.0,11.0,9.0,0.0,6.0,13.0,33.0,14.0,15.0
MTCAX,19.0,11.0,48.0,9.0,11.0,6.0,0.0,11.0,29.0,16.0,17.0
ROGSX,16.0,16.0,53.0,20.0,12.0,13.0,11.0,0.0,36.0,27.0,28.0
RSIFX,22.0,30.0,19.0,22.0,36.0,33.0,29.0,36.0,0.0,29.0,28.0
SHGTX,23.0,17.0,44.0,15.0,19.0,14.0,16.0,27.0,29.0,0.0,5.0
SLMCX,20.0,18.0,43.0,14.0,20.0,15.0,17.0,28.0,28.0,5.0,0.0
