,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,7.0,6.0,12.0,10.0,12.0,7.0,10.0,11.0,13.0
EVUAX,7.0,0.0,9.0,17.0,14.0,16.0,12.0,12.0,11.0,12.0
FIUIX,6.0,9.0,0.0,15.0,14.0,15.0,8.0,15.0,9.0,15.0
FKUTX,12.0,17.0,15.0,0.0,6.0,6.0,12.0,15.0,18.0,16.0
FSUTX,10.0,14.0,14.0,6.0,0.0,2.0,14.0,12.0,19.0,18.0
FUGAX,12.0,16.0,15.0,6.0,2.0,0.0,16.0,12.0,19.0,18.0
GASFX,7.0,12.0,8.0,12.0,14.0,16.0,0.0,14.0,17.0,12.0
ICTUX,10.0,12.0,15.0,15.0,12.0,12.0,14.0,0.0,17.0,15.0
MMUFX,11.0,11.0,9.0,18.0,19.0,19.0,17.0,17.0,0.0,13.0
PRUAX,13.0,12.0,15.0,16.0,18.0,18.0,12.0,15.0,13.0,0.0
