,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,7.0,6.0,13.0,11.0,13.0,7.0,11.0,13.0,15.0
EVUAX,7.0,0.0,9.0,18.0,16.0,18.0,12.0,14.0,12.0,14.0
FIUIX,6.0,9.0,0.0,17.0,15.0,17.0,9.0,17.0,11.0,19.0
FKUTX,13.0,18.0,17.0,0.0,6.0,6.0,12.0,16.0,26.0,20.0
FSUTX,11.0,16.0,15.0,6.0,0.0,2.0,14.0,14.0,24.0,22.0
FUGAX,13.0,18.0,17.0,6.0,2.0,0.0,16.0,14.0,26.0,22.0
GASFX,7.0,12.0,9.0,12.0,14.0,16.0,0.0,14.0,20.0,14.0
ICTUX,11.0,14.0,17.0,16.0,14.0,14.0,14.0,0.0,22.0,16.0
MMUFX,13.0,12.0,11.0,26.0,24.0,26.0,20.0,22.0,0.0,18.0
PRUAX,15.0,14.0,19.0,20.0,22.0,22.0,14.0,16.0,18.0,0.0
