,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,13.0,55.0,60.0,17.0,36.0
FSENX,13.0,0.0,56.0,67.0,8.0,41.0
ICPAX,55.0,56.0,0.0,83.0,54.0,73.0
PRNEX,60.0,67.0,83.0,0.0,67.0,34.0
RYEIX,17.0,8.0,54.0,67.0,0.0,41.0
VGENX,36.0,41.0,73.0,34.0,41.0,0.0
