,FNARX,FSENX,ICPAX,PRNEX,RYEIX,VGENX
FNARX,0.0,11.0,18.0,25.0,15.0,21.0
FSENX,11.0,0.0,16.0,26.0,8.0,20.0
ICPAX,18.0,16.0,0.0,26.0,16.0,24.0
PRNEX,25.0,26.0,26.0,0.0,23.0,20.0
RYEIX,15.0,8.0,16.0,23.0,0.0,19.0
VGENX,21.0,20.0,24.0,20.0,19.0,0.0
